Orthogroup	s_cerevisiae_proteins	s_kudriavzevii_proteins
OG0000000	rna708, rna3426, rna1500, rna5234	Skud_14.406, Skud_4.5
OG0000000	rna4477	Skud_13.163
OG0000000	rna1856	Skud_6.61
OG0000001	rna1847	Skud_1.71, Skud_6.51, Skud_5.41
OG0000001	rna700, rna3039, rna3430, rna4822, rna5805, rna5809	Skud_12.104
OG0000001	rna3802	Skud_12.43
OG0000001	rna3418	Skud_10.376
OG0000002	rna3233	Skud_10.188
OG0000002	rna3803	Skud_12.44
OG0000002	rna66	Skud_1.58
OG0000003	rna4070	Skud_12.278
OG0000003	rna5796	Skud_15.551
OG0000003	rna5792	Skud_15.547
OG0000003	rna5222	Skud_14.396
OG0000003	rna3779	Skud_12.19
OG0000004	rna5237, rna3434, rna525, rna4327, rna1805, rna4824, rna705, rna3429, rna2514, rna2519	Skud_12.1
OG0000004	rna2523, rna2524, rna1940	Skud_8.1
OG0000005	rna1504	Skud_5.24
OG0000005	rna528, rna3763	Skud_18.6
OG0000005	rna2525	Skud_8.3
OG0000006	rna3950	Skud_12.193
OG0000006	rna3949	Skud_12.192
OG0000006	rna2975	Skud_9.154
OG0000007	rna5257	Skud_15.4
OG0000007	rna2049	Skud_7.115
OG0000007	rna1489	Skud_5.12
OG0000009	rna601	Skud_3.71, Skud_3.88
OG0000009	rna89	Skud_1.87, Skud_1.88
OG0000009	rna88	Skud_1.82
OG0000010	rna3048	Skud_7.622
OG0000010	rna2509, rna2818, rna3044, rna5251	Skud_7.636
OG0000010	rna523, rna2512	Skud_20.5, Skud_7.643
OG0000011	rna290	Skud_2.192
OG0000012	rna4562	Skud_13.240
OG0000012	rna4800	Skud_2.272, Skud_15.68, Skud_13.477
OG0000013	rna6105	Skud_16.298
OG0000013	rna6106	Skud_16.300
OG0000015	rna1815	Skud_6.18
OG0000016	rna5912	Skud_16.99
OG0000016	rna1388	Skud_4.709
OG0000016	rna4449	Skud_13.135
OG0000017	rna5586	Skud_15.334
OG0000017	rna3431	Skud_16.500
OG0000018	rna317	Skud_2.220
OG0000018	rna100, rna2809, rna318	Skud_2.221
OG0000019	rna5232	Skud_14.404
OG0000019	rna950	Skud_4.262
OG0000019	rna6034	Skud_16.225
OG0000021	rna824	Skud_4.132
OG0000021	rna3105	Skud_10.64
OG0000022	rna195	Skud_2.89
OG0000022	rna696, rna5228, rna698, rna697, rna2817, rna3043, rna5227	Skud_14.401
OG0000024	rna520	Skud_2.427
OG0000024	rna1814	Skud_6.7
OG0000024	rna6290	Skud_20.3
OG0000026	rna4803	Skud_13.480
OG0000027	rna3099	Skud_10.58
OG0000028	rna529, rna3762	Skud_18.3
OG0000028	rna2450	Skud_7.560
OG0000028	rna6291	Skud_16.503
OG0000029	rna706, rna3428	Skud_4.1
OG0000029	rna521	Skud_7.639, Skud_20.4
OG0000029	rna2511	Skud_7.628
OG0000030	rna4473	Skud_13.159
OG0000031	rna1717	Skud_5.255
OG0000032	rna3874	Skud_12.110
OG0000032	rna3960	Skud_12.203
OG0000033	rna971	Skud_4.286
OG0000033	rna272	Skud_2.169
OG0000033	rna621	Skud_3.94
OG0000034	rna960	Skud_4.273
OG0000035	rna2765	Skud_8.243
OG0000036	rna5888	Skud_16.76
OG0000037	rna4893	Skud_14.71
OG0000038	rna1648	Skud_5.174
OG0000038	rna1649	Skud_5.175
OG0000038	rna1643	Skud_5.169
OG0000039	rna878	Skud_4.189
OG0000040	rna3926	Skud_12.166
OG0000040	rna5749	Skud_15.502
OG0000041	rna5019	Skud_14.197
OG0000043	rna5127	Skud_2.123
OG0000043	rna226	Skud_38.2
OG0000044	rna5742	Skud_15.495
OG0000046	rna4092, rna5487, rna5608	Skud_12.312
OG0000047	rna3760	Skud_18.2
OG0000048	rna6018	Skud_16.208
OG0000048	rna1631	Skud_5.157
OG0000049	rna225, rna5128	Skud_2.122
OG0000050	rna5086	Skud_14.265
OG0000050	rna2057	Skud_7.124
OG0000051	rna307	Skud_2.209
OG0000051	rna2427	Skud_7.540
OG0000052	rna2293	Skud_7.382
OG0000052	rna6086	Skud_16.279
OG0000053	rna1171	Skud_4.486
OG0000054	rna3888	Skud_12.124
OG0000054	rna488	Skud_2.396
OG0000055	rna196	Skud_2.90
OG0000055	rna2251	Skud_7.337
OG0000057	rna894	Skud_4.205
OG0000057	rna3083	Skud_10.41
OG0000058	rna3695	Skud_11.275
OG0000059	rna2526	Skud_8.4
OG0000059	rna5884	Skud_16.71
OG0000060	rna2864	Skud_9.41
OG0000060	rna5705	Skud_15.456
OG0000061	rna5515	Skud_15.264
OG0000062	rna6209, rna5832	Skud_16.20
OG0000062	rna5353	Skud_15.98
OG0000063	rna5699	Skud_15.448
OG0000063	rna5700	Skud_15.449
OG0000064	rna709, rna3425, rna1809, rna4828	Skud_10.2, Skud_4.11, Skud_14.7
OG0000065	rna741	Skud_4.46
OG0000066	rna6090	Skud_16.283
OG0000067	rna3085	Skud_10.43
OG0000068	rna3772	Skud_12.10
OG0000069	rna5733	Skud_15.486
OG0000069	rna2985	Skud_9.167
OG0000069	rna4739	Skud_13.418
OG0000071	rna4928	Skud_14.107
OG0000071	rna4896	Skud_14.74
OG0000072	rna5414	Skud_15.160
OG0000073	rna3181	Skud_11.246
OG0000074	rna4537	Skud_13.214
OG0000074	rna1825	Skud_6.29
OG0000075	rna5646	Skud_15.396
OG0000076	rna4536	Skud_13.212
OG0000077	rna1170	Skud_4.485
OG0000077	rna215	Skud_2.112
OG0000078	rna598	Skud_3.65
OG0000079	rna6005	Skud_16.195
OG0000080	rna2871	Skud_9.51
OG0000081	rna2484	Skud_7.593
OG0000082	rna380	Skud_2.287
OG0000084	rna1781	Skud_5.314
OG0000084	rna2797	Skud_8.276
OG0000085	rna4653	Skud_13.334
OG0000086	rna1816	Skud_6.19
OG0000086	rna5276	Skud_15.23
OG0000087	rna4817	Skud_13.494
OG0000087	rna701	Skud_3.175
OG0000089	rna3841	Skud_12.81
OG0000089	rna3008	Skud_9.191
OG0000090	rna1596	Skud_5.121
OG0000090	rna4568	Skud_13.245
OG0000093	rna3432	Skud_16.499
OG0000094	rna4575	Skud_13.252
OG0000095	rna1365	Skud_4.684
OG0000095	rna5571	Skud_15.320
OG0000096	rna6056	Skud_16.245
OG0000096	rna2196	Skud_7.279
OG0000097	rna4821, rna5804, rna5810	Skud_7.587, Skud_8.238
OG0000098	rna2860	Skud_9.37
OG0000098	rna3056	Skud_10.10
OG0000099	rna4712	Skud_13.391
OG0000099	rna5695	Skud_15.444
OG0000100	rna1483	Skud_4.807
OG0000101	rna239	Skud_2.134
OG0000101	rna3027	Skud_9.209
OG0000102	rna2711	Skud_8.190
OG0000102	rna1827	Skud_6.31
OG0000103	rna1273	Skud_4.588
OG0000105	rna1047	Skud_4.358
OG0000105	rna1784	Skud_5.316
OG0000107	rna3424, rna703, rna5242, rna4829, rna710	Skud_10.383
OG0000110	rna1807, rna4826	Skud_4.7
OG0000110	rna4574	Skud_13.251
OG0000111	rna2003	Skud_7.69
OG0000112	rna4858	Skud_14.39
OG0000112	rna5290	Skud_15.37
OG0000113	rna4309	Skud_12.542
OG0000114	rna1187	Skud_4.504
OG0000115	rna3526	Skud_11.103
OG0000115	rna4583	Skud_13.262
OG0000117	rna4408	Skud_13.92
OG0000118	rna918	Skud_4.227
OG0000120	rna4167	Skud_12.394
OG0000121	rna1569	Skud_5.93
OG0000121	rna2763	Skud_8.241
OG0000122	rna850	Skud_4.159
OG0000122	rna851	Skud_4.161
OG0000124	rna1279	Skud_4.594
OG0000124	rna2663	Skud_8.141
OG0000125	rna1793	Skud_45.1, Skud_9.221
OG0000126	rna5084	Skud_14.263
OG0000126	rna2859	Skud_9.36
OG0000127	rna4745	Skud_13.422
