Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N1	n0	0.9	Non-Terminal	l_kluyveri_v2_proteins_SAKL-ORF13237, n_castellii_proteins_rna5650, s_bayanus_proteins_Sbay_10.164, s_bayanus_proteins_Sbay_10.165, s_cerevisiae_proteins_rna3909, s_paradoxus_proteins_Spar_12.155, s_mikatae_proteins_Smik_12.140, l_thermotolerans_proteins_rna2247, l_waltii_v3_proteins_Kwal_55.20075, l_kluyveri_v2_proteins_SAKL-ORF3903, l_kluyveri_v2_proteins_Mod_transcript_36, l_thermotolerans_proteins_rna5243, l_waltii_v3_proteins_Kwal_34.16266, l_waltii_v3_proteins_Kwal_26.6680, l_waltii_v3_proteins_Kwal_26.6686, l_waltii_v3_proteins_Kwal_55.19582, l_waltii_v3_proteins_Kwal_56.22285, l_kluyveri_v2_proteins_SAKL-ORF13165, l_kluyveri_v2_proteins_SAKL-ORF12605, s_cerevisiae_proteins_rna3049, s_mikatae_proteins_Smik_6.20, s_paradoxus_proteins_Spar_6.23, s_paradoxus_proteins_Spar_10.17, s_mikatae_proteins_Smik_10.8, s_bayanus_proteins_Sbay_12.263, s_bayanus_proteins_Sbay_15.419, s_cerevisiae_proteins_rna708, s_cerevisiae_proteins_rna3426, s_paradoxus_proteins_Spar_4.16, s_cerevisiae_proteins_rna1500, s_cerevisiae_proteins_rna5234, s_paradoxus_proteins_Spar_14.441, s_paradoxus_proteins_Spar_16.36, s_mikatae_proteins_Smik_14.401, s_mikatae_proteins_Smik_5.19, s_kudriavzevii_proteins_Skud_14.406, s_kudriavzevii_proteins_Skud_4.5	l_kluyveri_v2_proteins_SAKL-ORF2653, l_thermotolerans_proteins_rna814, l_waltii_v3_proteins_Kwal_14.854, n_castellii_proteins_rna890, n_castellii_proteins_rna3988, s_bayanus_proteins_Sbay_13.174, s_cerevisiae_proteins_rna4477, s_mikatae_proteins_Smik_13.171, s_paradoxus_proteins_Spar_13.168, s_kudriavzevii_proteins_Skud_13.163, s_bayanus_proteins_Sbay_9.197, s_cerevisiae_proteins_rna1856, s_paradoxus_proteins_Spar_6.80, s_mikatae_proteins_Smik_6.68, s_kudriavzevii_proteins_Skud_6.61, n_castellii_proteins_rna4409, n_castellii_proteins_rna5135, s_bayanus_proteins_Sbay_15.287, s_kudriavzevii_proteins_Skud_8.153, s_paradoxus_proteins_Spar_8.176, s_mikatae_proteins_Smik_8.170, s_bayanus_proteins_Sbay_2.513, s_mikatae_proteins_Smik_4.607, s_paradoxus_proteins_Spar_4.619, s_mikatae_proteins_Smik_4.606, s_paradoxus_proteins_Spar_4.622, s_paradoxus_proteins_Spar_4.779, s_bayanus_proteins_Sbay_2.512, n_castellii_proteins_rna305, n_castellii_proteins_rna5645, n_castellii_proteins_rna4508, n_castellii_proteins_rna5642, n_castellii_proteins_rna4097, n_castellii_proteins_rna2822, n_castellii_proteins_rna5313, n_castellii_proteins_rna3670, n_castellii_proteins_rna5637, l_thermotolerans_proteins_rna353, s_cerevisiae_proteins_rna3045, s_cerevisiae_proteins_rna5252, s_paradoxus_proteins_Spar_10.3, s_paradoxus_proteins_Spar_15.13, s_paradoxus_proteins_Spar_9.2, k_lactis_proteins_rna2641, l_kluyveri_v2_proteins_SAKL-ORF3910, l_thermotolerans_proteins_rna2246, l_waltii_v3_proteins_Kwal_55.20068, n_castellii_proteins_rna4410, s_bayanus_proteins_Sbay_15.290, s_mikatae_proteins_Smik_8.172, s_bayanus_proteins_Sbay_2.516, s_paradoxus_proteins_Spar_4.617, s_mikatae_proteins_Smik_4.609, n_castellii_proteins_rna5136, s_bayanus_proteins_Sbay_15.291, s_kudriavzevii_proteins_Skud_8.157, s_mikatae_proteins_Smik_8.173, s_paradoxus_proteins_Spar_8.180
OG0000000	N1	n1	0.7	Non-Terminal	l_kluyveri_v2_proteins_SAKL-ORF13237, n_castellii_proteins_rna5650, s_bayanus_proteins_Sbay_10.164, s_bayanus_proteins_Sbay_10.165, s_cerevisiae_proteins_rna3909, s_paradoxus_proteins_Spar_12.155, s_mikatae_proteins_Smik_12.140, l_thermotolerans_proteins_rna2247, l_waltii_v3_proteins_Kwal_55.20075, l_kluyveri_v2_proteins_SAKL-ORF3903	l_kluyveri_v2_proteins_Mod_transcript_36, l_thermotolerans_proteins_rna5243, l_waltii_v3_proteins_Kwal_34.16266, l_waltii_v3_proteins_Kwal_26.6680, l_waltii_v3_proteins_Kwal_26.6686, l_waltii_v3_proteins_Kwal_55.19582, l_waltii_v3_proteins_Kwal_56.22285, l_kluyveri_v2_proteins_SAKL-ORF13165, l_kluyveri_v2_proteins_SAKL-ORF12605, s_cerevisiae_proteins_rna3049, s_mikatae_proteins_Smik_6.20, s_paradoxus_proteins_Spar_6.23, s_paradoxus_proteins_Spar_10.17, s_mikatae_proteins_Smik_10.8, s_bayanus_proteins_Sbay_12.263, s_bayanus_proteins_Sbay_15.419, s_cerevisiae_proteins_rna708, s_cerevisiae_proteins_rna3426, s_paradoxus_proteins_Spar_4.16, s_cerevisiae_proteins_rna1500, s_cerevisiae_proteins_rna5234, s_paradoxus_proteins_Spar_14.441, s_paradoxus_proteins_Spar_16.36, s_mikatae_proteins_Smik_14.401, s_mikatae_proteins_Smik_5.19, s_kudriavzevii_proteins_Skud_14.406, s_kudriavzevii_proteins_Skud_4.5
OG0000000	s_bayanus_proteins	n7	1.0	Terminal	s_bayanus_proteins_Sbay_10.164	s_bayanus_proteins_Sbay_10.165
OG0000000	N1	n11	0.2	Non-Terminal	l_kluyveri_v2_proteins_Mod_transcript_36, l_thermotolerans_proteins_rna5243, l_waltii_v3_proteins_Kwal_34.16266	l_waltii_v3_proteins_Kwal_26.6680, l_waltii_v3_proteins_Kwal_26.6686, l_waltii_v3_proteins_Kwal_55.19582, l_waltii_v3_proteins_Kwal_56.22285, l_kluyveri_v2_proteins_SAKL-ORF13165, l_kluyveri_v2_proteins_SAKL-ORF12605, s_cerevisiae_proteins_rna3049, s_mikatae_proteins_Smik_6.20, s_paradoxus_proteins_Spar_6.23, s_paradoxus_proteins_Spar_10.17, s_mikatae_proteins_Smik_10.8, s_bayanus_proteins_Sbay_12.263, s_bayanus_proteins_Sbay_15.419, s_cerevisiae_proteins_rna708, s_cerevisiae_proteins_rna3426, s_paradoxus_proteins_Spar_4.16, s_cerevisiae_proteins_rna1500, s_cerevisiae_proteins_rna5234, s_paradoxus_proteins_Spar_14.441, s_paradoxus_proteins_Spar_16.36, s_mikatae_proteins_Smik_14.401, s_mikatae_proteins_Smik_5.19, s_kudriavzevii_proteins_Skud_14.406, s_kudriavzevii_proteins_Skud_4.5
OG0000000	l_waltii_v3_proteins	n15	1.0	Terminal	l_waltii_v3_proteins_Kwal_26.6680	l_waltii_v3_proteins_Kwal_26.6686, l_waltii_v3_proteins_Kwal_55.19582, l_waltii_v3_proteins_Kwal_56.22285
OG0000000	l_waltii_v3_proteins	n16	1.0	Terminal	l_waltii_v3_proteins_Kwal_26.6686	l_waltii_v3_proteins_Kwal_55.19582, l_waltii_v3_proteins_Kwal_56.22285
OG0000000	l_waltii_v3_proteins	n17	1.0	Terminal	l_waltii_v3_proteins_Kwal_55.19582	l_waltii_v3_proteins_Kwal_56.22285
OG0000000	N1	n18	0.3	Non-Terminal	l_kluyveri_v2_proteins_SAKL-ORF13165, l_kluyveri_v2_proteins_SAKL-ORF12605, s_cerevisiae_proteins_rna3049, s_mikatae_proteins_Smik_6.20, s_paradoxus_proteins_Spar_6.23, s_paradoxus_proteins_Spar_10.17, s_mikatae_proteins_Smik_10.8	s_bayanus_proteins_Sbay_12.263, s_bayanus_proteins_Sbay_15.419, s_cerevisiae_proteins_rna708, s_cerevisiae_proteins_rna3426, s_paradoxus_proteins_Spar_4.16, s_cerevisiae_proteins_rna1500, s_cerevisiae_proteins_rna5234, s_paradoxus_proteins_Spar_14.441, s_paradoxus_proteins_Spar_16.36, s_mikatae_proteins_Smik_14.401, s_mikatae_proteins_Smik_5.19, s_kudriavzevii_proteins_Skud_14.406, s_kudriavzevii_proteins_Skud_4.5
OG0000000	l_kluyveri_v2_proteins	n20	1.0	Terminal	l_kluyveri_v2_proteins_SAKL-ORF13165	l_kluyveri_v2_proteins_SAKL-ORF12605
OG0000000	N8	n22	0.6666666666666666	Non-Terminal	s_mikatae_proteins_Smik_6.20, s_paradoxus_proteins_Spar_6.23	s_paradoxus_proteins_Spar_10.17, s_mikatae_proteins_Smik_10.8
