Orthogroup	s_cerevisiae_proteins	s_paradoxus_proteins
OG0000000	rna3909	Spar_12.155
OG0000000	rna3049	Spar_6.23, Spar_10.17
OG0000000	rna708, rna3426	Spar_4.16
OG0000000	rna1500, rna5234	Spar_14.441, Spar_16.36
OG0000000	rna4477	Spar_13.168
OG0000000	rna1856	Spar_6.80
OG0000000	rna3045, rna5252	Spar_10.3, Spar_15.13, Spar_9.2
OG0000001	rna0, rna1490, rna2521, rna1942, rna2814, rna3042	Spar_16.12, Spar_16.30
OG0000001	rna1847	Spar_1.89
OG0000001	rna524, rna2513	Spar_2.476, Spar_7.657, Spar_6.63
OG0000001	rna5247	Spar_7.4, Spar_9.251, Spar_14.448, Spar_3.224, Spar_9.267
OG0000001	rna700, rna3039, rna3430, rna4822, rna5805, rna5809	Spar_12.114
OG0000001	rna3802	Spar_12.47
OG0000001	rna3418	Spar_10.435
OG0000001	rna3419	Spar_10.438
OG0000002	rna3233	Spar_10.229
OG0000002	rna3803	Spar_12.48
OG0000002	rna66	Spar_1.73
OG0000003	rna4070	Spar_12.322
OG0000003	rna5796	Spar_15.603
OG0000003	rna5792	Spar_15.599
OG0000003	rna3433	Spar_11.7
OG0000003	rna5222	Spar_14.431
OG0000003	rna3779	Spar_12.15
OG0000004	rna5237	Spar_16.33, Spar_16.16
OG0000004	rna3434	Spar_11.8, Spar_11.9
OG0000004	rna525, rna4327, rna1805, rna4824, rna705, rna3429, rna2514, rna2519	Spar_16.10, Spar_2.479, Spar_9.271, Spar_9.254, Spar_7.2
OG0000004	rna2523	Spar_16.26
OG0000004	rna2524	Spar_8.7
OG0000005	rna1504	Spar_5.9
OG0000005	rna528, rna3763	Spar_11.400
OG0000005	rna2525	Spar_8.13
OG0000006	rna1944, rna3038, rna1945	Spar_7.8
OG0000006	rna3950	Spar_12.201
OG0000006	rna3949	Spar_12.199
OG0000006	rna2975	Spar_9.174
OG0000007	rna5257	Spar_15.20
OG0000007	rna2166	Spar_7.260
OG0000007	rna2049	Spar_7.121
OG0000007	rna1489	Spar_4.913
OG0000009	rna84	Spar_1.90
OG0000009	rna601	Spar_3.88
OG0000009	rna87	Spar_1.99
OG0000009	rna89	Spar_1.105
OG0000009	rna90, rna2151	Spar_1.107, Spar_1.114
OG0000009	rna91, rna2152	Spar_1.117
OG0000010	rna3048	Spar_10.16
OG0000010	rna2509	Spar_7.642
OG0000010	rna2818, rna3044, rna5251	Spar_15.12
OG0000010	rna523, rna2512	Spar_7.653
OG0000011	rna290	Spar_2.224
OG0000012	rna4562	Spar_13.256
OG0000012	rna4800	Spar_2.305, Spar_15.91, Spar_13.501
OG0000013	rna6105	Spar_16.359
OG0000013	rna6106	Spar_16.361
OG0000014	rna101, rna103, rna2811, rna2517, rna1803, rna6296, rna3766, rna3764, rna6297, rna2812, rna4326, rna1798, rna2515, rna5808, rna4823, rna1491, rna5807, rna4325, rna4324, rna1804, rna6295, rna2516, rna1802, rna1492, rna1494, rna1495, rna1797, rna4322, rna3041, rna2813	Spar_16.1
OG0000015	rna3, rna8, rna95, rna2799, rna2801, rna5, rna1815, rna2800, rna3759	Spar_8.335
OG0000016	rna5912	Spar_16.145
OG0000016	rna1388	Spar_4.803
OG0000016	rna4449	Spar_13.137
OG0000017	rna5586	Spar_15.364
OG0000017	rna3431	Spar_11.5
OG0000018	rna915	Spar_4.254
OG0000018	rna317	Spar_2.251
OG0000018	rna100, rna2809	Spar_8.343
OG0000019	rna5232	Spar_14.439
OG0000019	rna950	Spar_4.291
OG0000021	rna824	Spar_4.156
OG0000021	rna3105	Spar_10.83
OG0000022	rna195	Spar_2.105
OG0000022	rna5228	Spar_14.436, Spar_3.211
OG0000022	rna698, rna697	Spar_3.214
OG0000024	rna520	Spar_2.472
OG0000024	rna1814	Spar_6.18
OG0000024	rna2510	Spar_7.643
OG0000024	rna6290	Spar_16.571
OG0000025	rna3208	Spar_10.193
OG0000025	rna2415	Spar_7.549
OG0000026	rna4803	Spar_13.505
OG0000027	rna3099	Spar_10.76
OG0000028	rna529, rna3762	Spar_11.399
OG0000028	rna2450	Spar_7.584
OG0000028	rna6291	Spar_16.573
OG0000029	rna706, rna3428	Spar_4.13
OG0000029	rna521	Spar_7.648, Spar_7.650
OG0000029	rna2511	Spar_10.12, Spar_7.644
OG0000030	rna4473	Spar_13.163
OG0000031	rna1717	Spar_5.296
OG0000032	rna3874	Spar_12.120
OG0000032	rna3960	Spar_12.214
OG0000032	rna2294	Spar_7.398
OG0000033	rna971	Spar_4.322
OG0000033	rna272	Spar_2.202
OG0000033	rna621	Spar_3.121
OG0000034	rna960	Spar_4.303
OG0000035	rna2765	Spar_8.277
OG0000035	rna5921	Spar_16.156
OG0000036	rna5888	Spar_16.120
OG0000037	rna4893	Spar_14.76
OG0000038	rna1648	Spar_5.203
OG0000038	rna1649	Spar_5.205
OG0000038	rna1643	Spar_5.198
OG0000039	rna878	Spar_4.214
OG0000040	rna3926	Spar_12.172
OG0000040	rna5749	Spar_15.549
OG0000041	rna5019	Spar_14.204
OG0000041	rna699, rna4320	Spar_12.607, Spar_3.219
OG0000043	rna5127	Spar_2.147
OG0000043	rna226	Spar_14.330
OG0000044	rna5742	Spar_15.541
OG0000046	rna4092	Spar_12.347
OG0000046	rna5487	Spar_15.271
OG0000046	rna5608	Spar_15.390
OG0000047	rna3760	Spar_11.398
OG0000048	rna6018	Spar_16.256
OG0000048	rna1631	Spar_5.184
OG0000049	rna5128	Spar_2.146
OG0000050	rna5086	Spar_14.273
OG0000050	rna2057	Spar_7.132
OG0000051	rna307	Spar_2.241
OG0000051	rna2427	Spar_7.561
OG0000052	rna2293	Spar_7.397
OG0000052	rna6086	Spar_16.334
OG0000053	rna1171	Spar_4.539
OG0000054	rna3888	Spar_12.134
OG0000054	rna488	Spar_2.441
OG0000055	rna196	Spar_2.106
OG0000055	rna2251	Spar_7.352
OG0000057	rna894	Spar_4.231
OG0000057	rna3083	Spar_10.56
OG0000058	rna3695	Spar_11.330
OG0000059	rna2526	Spar_8.14
OG0000059	rna5884	Spar_16.115
OG0000060	rna2864	Spar_9.47
OG0000060	rna5705	Spar_15.498
OG0000061	rna5515	Spar_15.306
OG0000062	rna6209	Spar_16.487
OG0000062	rna5832	Spar_16.53
OG0000062	rna5353	Spar_15.122
OG0000063	rna5699	Spar_15.490
OG0000063	rna5700	Spar_15.491
OG0000064	rna709, rna3425, rna1809, rna4828	Spar_10.444, Spar_6.13, Spar_14.4, Spar_4.21
OG0000065	rna741	Spar_4.55
OG0000066	rna6090	Spar_16.338
OG0000067	rna3085	Spar_10.58
OG0000069	rna5733	Spar_15.530
OG0000069	rna2985	Spar_9.190
OG0000069	rna4739	Spar_13.436
OG0000071	rna4928	Spar_14.111
OG0000071	rna4896	Spar_14.79
OG0000072	rna5414	Spar_15.189
OG0000073	rna3181	Spar_10.167
OG0000074	rna4537	Spar_13.228
OG0000074	rna1825	Spar_6.41
OG0000075	rna5646	Spar_15.437
OG0000076	rna4536	Spar_13.226
OG0000077	rna1170	Spar_4.538
OG0000077	rna215	Spar_2.136
OG0000078	rna598	Spar_3.83
OG0000079	rna6005	Spar_16.240
OG0000080	rna2871	Spar_9.54, Spar_9.55
OG0000081	rna2484	Spar_7.622
OG0000082	rna380	Spar_2.320
OG0000084	rna1781	Spar_5.372
OG0000084	rna2797	Spar_8.318
OG0000085	rna4654	Spar_13.362
OG0000085	rna4653	Spar_13.361
OG0000086	rna1816	Spar_6.31
OG0000086	rna5276	Spar_15.40
OG0000087	rna4817	Spar_13.520
OG0000087	rna701	Spar_2.7
OG0000089	rna3841	Spar_12.87
OG0000089	rna3008	Spar_9.214
OG0000090	rna1596	Spar_5.148
OG0000090	rna4568	Spar_13.262
OG0000093	rna3432	Spar_11.6
OG0000094	rna4575	Spar_13.269
OG0000094	rna1808, rna4827	Spar_10.445, Spar_14.3
OG0000095	rna1365	Spar_4.763
OG0000095	rna5571	Spar_15.349
OG0000096	rna6056	Spar_16.298
OG0000096	rna2196	Spar_7.292
OG0000097	rna4821, rna5804, rna5810	Spar_7.615, Spar_8.271
OG0000098	rna2860	Spar_9.43
OG0000098	rna3056	Spar_10.27
OG0000099	rna5695	Spar_15.485
OG0000100	rna4820, rna5811, rna5803	Spar_15.610
OG0000100	rna1483	Spar_4.904
OG0000101	rna239	Spar_2.162
OG0000101	rna3027	Spar_9.234
OG0000102	rna2711	Spar_8.219
OG0000103	rna1273	Spar_4.701
OG0000105	rna1047	Spar_4.405
OG0000105	rna1784	Spar_5.374
OG0000107	rna703, rna5242	Spar_2.5
OG0000107	rna4829	Spar_14.5
OG0000107	rna710	Spar_4.22
OG0000110	rna1807, rna4826	Spar_10.446
OG0000110	rna4574	Spar_13.268
OG0000111	rna2003	Spar_7.70
OG0000112	rna4858	Spar_14.35
OG0000112	rna5290	Spar_15.55
OG0000113	rna4309	Spar_12.593
OG0000114	rna1187	Spar_4.556
OG0000115	rna3526	Spar_11.132
OG0000115	rna4583	Spar_13.280
OG0000117	rna4408	Spar_13.97
OG0000118	rna918	Spar_4.257
OG0000120	rna4167	Spar_12.436
OG0000121	rna1569	Spar_5.99
OG0000121	rna2763	Spar_8.275
OG0000122	rna850	Spar_4.184
OG0000122	rna851	Spar_4.186
OG0000124	rna1279	Spar_4.707
OG0000124	rna2663	Spar_8.162
OG0000125	rna1793	Spar_5.390
OG0000126	rna5084	Spar_14.271
OG0000126	rna2859	Spar_9.42
OG0000127	rna4745	Spar_13.442
OG0000127	rna3732	Spar_11.367
OG0000128	rna2399	Spar_7.529
OG0000128	rna5789	Spar_15.596
OG0000129	rna516	Spar_2.469
OG0000129	rna3920	Spar_12.166
OG0000130	rna4958	Spar_14.142
OG0000131	rna4519	Spar_13.208
OG0000131	rna4520	Spar_13.209
OG0000132	rna1946, rna5799	Spar_7.9, Spar_15.606
OG0000136	rna2467	Spar_7.603
OG0000136	rna2747	Spar_8.259
OG0000137	rna209	Spar_2.131
OG0000138	rna1608	Spar_5.163
OG0000139	rna2786	Spar_8.307
OG0000139	rna2785	Spar_8.306
OG0000141	rna2810	Spar_12.575, Spar_10.455, Spar_4.4, Spar_16.24, Spar_8.344, Spar_6.6, Spar_3.227
OG0000143	rna328	Spar_2.263
OG0000143	rna2275	Spar_7.378
OG0000144	rna6260	Spar_16.536
OG0000147	rna1451	Spar_4.871
OG0000148	rna4042	Spar_12.292
OG0000149	rna2739	Spar_8.252
OG0000149	rna4903	Spar_14.86
OG0000152	rna4633	Spar_13.337
OG0000153	rna3776	Spar_12.13
OG0000153	rna702	Spar_2.6
OG0000154	rna5431	Spar_15.208
OG0000154	rna1349	Spar_4.747
OG0000158	rna905, rna3015	Spar_9.220
OG0000160	rna5818	Spar_13.524, Spar_16.39
OG0000160	rna3769	Spar_12.5
OG0000161	rna5231	Spar_13.469, Spar_13.30
OG0000163	rna3421	Spar_10.439
OG0000165	rna1823	Spar_6.38
OG0000165	rna3901	Spar_12.147
OG0000166	rna5630	Spar_15.419
OG0000168	rna1656	Spar_5.213
OG0000168	rna1859	Spar_6.82
OG0000169	rna2720	Spar_8.230
OG0000172	rna4025	Spar_12.274
OG0000172	rna1123	Spar_4.490
OG0000173	rna1341	Spar_4.573
OG0000177	rna801	Spar_4.121
OG0000178	rna2060	Spar_7.135
OG0000180	rna2743	Spar_8.255
OG0000180	rna2462	Spar_7.598
OG0000182	rna2115	Spar_7.201
OG0000182	rna5905	Spar_16.136
OG0000183	rna1683	Spar_5.251
OG0000183	rna158	Spar_2.69
OG0000186	rna6001	Spar_16.236, Spar_2.342
OG0000191	rna5151	Spar_14.355
OG0000191	rna4602	Spar_13.300
OG0000192	rna3030	Spar_9.238
OG0000192	rna5037	Spar_14.221
OG0000194	rna224	Spar_2.145
OG0000195	rna1947	Spar_7.10
OG0000195	rna5221	Spar_14.430
OG0000196	rna1994	Spar_7.57
OG0000196	rna1609	Spar_5.164
OG0000197	rna5797	Spar_15.604
OG0000197	rna4814	Spar_13.515
OG0000198	rna3050	Spar_10.21
OG0000202	rna1622	Spar_5.175
OG0000206	rna1293	Spar_4.778
OG0000207	rna5287	Spar_15.51
OG0000213	rna5220	Spar_14.429
OG0000216	rna3393	Spar_10.410
OG0000219	rna3554	Spar_11.162
OG0000224	rna6213	Spar_16.491
OG0000227	rna4596	Spar_13.295
OG0000230	rna642	Spar_3.145
OG0000231	rna533	Spar_3.20
OG0000250	rna4804	Spar_13.506
OG0000255	rna3775	Spar_12.12
OG0000261	rna1951	Spar_7.15
OG0000273	rna3034	Spar_9.242
OG0000273	rna3035	Spar_9.243
OG0000288	rna468	Spar_2.420
OG0000303	rna981	Spar_4.334, Spar_4.333
OG0000312	rna6044	Spar_16.287
OG0000331	rna378	Spar_2.318
OG0000335	rna2606	Spar_8.103
OG0000338	rna5255	Spar_15.17
OG0000345	rna5861	Spar_16.92
OG0000348	rna3438	Spar_11.15
OG0000351	rna832	Spar_4.166
OG0000353	rna3505	Spar_11.107
OG0000355	rna707, rna3427	Spar_4.14
OG0000360	rna732	Spar_4.46
OG0000364	rna2995	Spar_9.200
OG0000368	rna4925	Spar_14.108
OG0000374	rna5447	Spar_15.227
OG0000375	rna6113	Spar_16.369
OG0000376	rna982, rna983, rna984	Spar_4.339
OG0000381	rna4569	Spar_13.263
OG0000388	rna864	Spar_4.199
OG0000396	rna5096	Spar_14.283
OG0000400	rna4697	Spar_13.404
OG0000415	rna4728	Spar_13.420
OG0000422	rna4336	Spar_13.18
OG0000423	rna4748	Spar_13.445
OG0000423	rna5827	Spar_16.48
OG0000424	rna3512	Spar_11.116
OG0000425	rna5426	Spar_15.204
OG0000425	rna1588	Spar_15.205
OG0000427	rna695	Spar_3.210
OG0000430	rna5603	Spar_15.384
OG0000431	rna3939	Spar_12.185
OG0000432	rna2826	Spar_9.9
OG0000435	rna2790	Spar_8.311
OG0000436	rna4298	Spar_12.581
OG0000437	rna3770	Spar_12.6
OG0000437	rna5817	Spar_16.38
OG0000439	rna337	Spar_2.273
OG0000440	rna4725	Spar_13.417
OG0000443	rna4917	Spar_14.100
OG0000445	rna1471	Spar_4.894
OG0000449	rna4142	Spar_12.405
OG0000450	rna1858	Spar_6.81
OG0000451	rna510	Spar_2.463
OG0000456	rna360	Spar_2.298
OG0000457	rna4812	Spar_13.514
OG0000458	rna1897	Spar_6.129
OG0000460	rna4966	Spar_14.150
OG0000461	rna4329	Spar_13.11
OG0000462	rna3390	Spar_10.407
OG0000464	rna2305	Spar_7.411
OG0000465	rna3022	Spar_9.229
OG0000468	rna168	Spar_2.81
OG0000470	rna108	Spar_2.16
OG0000471	rna122	Spar_2.31
OG0000474	rna179	Spar_2.87
OG0000485	rna268	Spar_4.314
OG0000487	rna52	Spar_1.51
OG0000489	rna2160	Spar_7.250
OG0000491	rna2009	Spar_7.81
OG0000492	rna996	Spar_4.352
OG0000493	rna4103	Spar_12.361
OG0000494	rna2669	Spar_8.168
OG0000496	rna5470	Spar_15.252
OG0000500	rna4521	Spar_13.210
OG0000503	rna1503	Spar_5.8
OG0000503	rna6288	Spar_16.568
OG0000505	rna3037	Spar_9.245
OG0000508	rna1988	Spar_7.51
OG0000509	rna1369	Spar_4.767
OG0000510	rna1367	Spar_4.765
OG0000511	rna1747	Spar_5.336
OG0000512	rna19	Spar_1.18
OG0000513	rna1427	Spar_4.845
OG0000514	rna5737	Spar_15.536
OG0000515	rna5795, rna1484	Spar_15.602
OG0000516	rna4148	Spar_12.411
OG0000517	rna4153	Spar_12.418
OG0000519	rna2195	Spar_7.291
OG0000520	rna2476	Spar_7.613
OG0000522	rna2468	Spar_7.604
OG0000524	rna3715	Spar_11.350
OG0000525	rna629	Spar_3.134
OG0000526	rna1290	Spar_4.718
OG0000527	rna5490	Spar_15.280
OG0000528	rna3738	Spar_11.373
OG0000529	rna2591	Spar_8.85
