Orthogroup	k_lactis_proteins	l_kluyveri_v2_proteins	l_thermotolerans_proteins	l_waltii_v3_proteins	n_castellii_proteins	s_bayanus_proteins	s_cerevisiae_proteins	s_kudriavzevii_proteins	s_mikatae_proteins	s_paradoxus_proteins	schizo_pombe_proteins
OG0000000	rna2641	Mod_transcript_36, SAKL-ORF12605, SAKL-ORF13165, SAKL-ORF13237, SAKL-ORF2653, SAKL-ORF3903, SAKL-ORF3910	rna2246, rna2247, rna353, rna5243, rna814	Kwal_14.854, Kwal_26.6680, Kwal_26.6686, Kwal_34.16266, Kwal_55.19582, Kwal_55.20068, Kwal_55.20075, Kwal_56.22285	rna2822, rna305, rna3670, rna3988, rna4097, rna4409, rna4410, rna4508, rna5135, rna5136, rna5313, rna5637, rna5642, rna5645, rna5650, rna890	Sbay_10.164, Sbay_10.165, Sbay_12.263, Sbay_13.174, Sbay_15.287, Sbay_15.290, Sbay_15.291, Sbay_15.419, Sbay_2.512, Sbay_2.513, Sbay_2.516, Sbay_9.197	rna1500, rna1856, rna3045, rna3049, rna3426, rna3909, rna4477, rna5234, rna5252, rna708	Skud_13.163, Skud_14.406, Skud_4.5, Skud_6.61, Skud_8.153, Skud_8.157	Smik_10.8, Smik_12.140, Smik_13.171, Smik_14.401, Smik_4.606, Smik_4.607, Smik_4.609, Smik_5.19, Smik_6.20, Smik_6.68, Smik_8.170, Smik_8.172, Smik_8.173	Spar_10.17, Spar_10.3, Spar_12.155, Spar_13.168, Spar_14.441, Spar_15.13, Spar_16.36, Spar_4.16, Spar_4.617, Spar_4.619, Spar_4.622, Spar_4.779, Spar_6.23, Spar_6.80, Spar_8.176, Spar_8.180, Spar_9.2	
OG0000001					rna1638	Sbay_1.88, Sbay_1.96, Sbay_10.48, Sbay_12.243, Sbay_14.413, Sbay_5.106, Sbay_5.21, Sbay_6.39, Sbay_7.36, Sbay_7.585	rna0, rna104, rna1490, rna1524, rna1847, rna1942, rna2513, rna2521, rna2814, rna3039, rna3042, rna3418, rna3419, rna3430, rna3767, rna3802, rna3868, rna4321, rna4822, rna5239, rna524, rna5247, rna5805, rna5809, rna700	Skud_1.71, Skud_10.376, Skud_12.104, Skud_12.43, Skud_12.556, Skud_14.3, Skud_3.170, Skud_3.174, Skud_5.2, Skud_5.41, Skud_6.51, Skud_7.45	Smik_1.80, Smik_10.445, Smik_12.39, Smik_14.411, Smik_16.460, Smik_16.9, Smik_17.13, Smik_17.5, Smik_19.2, Smik_2.6, Smik_3.7, Smik_5.10, Smik_5.360, Smik_5.44	Spar_1.89, Spar_10.435, Spar_10.438, Spar_12.114, Spar_12.47, Spar_14.448, Spar_15.616, Spar_16.12, Spar_16.30, Spar_2.476, Spar_2.8, Spar_3.224, Spar_4.8, Spar_6.178, Spar_6.63, Spar_7.4, Spar_7.657, Spar_9.251, Spar_9.267	
OG0000002	rna2233, rna2464, rna2885, rna3849	SAKL-ORF3493, SAKL-ORF5158, SAKL-ORF6563, SAKL-ORF669	rna1088, rna4111, rna5014, rna684	Kwal_14.2130, Kwal_23.2889, Kwal_23.4548, Kwal_27.10817	rna112, rna1509, rna3125, rna3165, rna3927, rna4664	Sbay_10.49, Sbay_12.47, Sbay_14.134, Sbay_2.44, Sbay_4.15, Sbay_5.222	rna3233, rna3803, rna66	Skud_1.58, Skud_10.188, Skud_12.44, Skud_14.127, Skud_2.32, Skud_4.25, Skud_5.228	Smik_10.238, Smik_12.40, Smik_14.123, Smik_2.43, Smik_4.12, Smik_5.249	Spar_1.73, Spar_10.229, Spar_12.48, Spar_14.132, Spar_2.48, Spar_4.37, Spar_5.276	rna1267, rna3716, rna653, rna6719
OG0000003	rna1400, rna3195, rna3580, rna4073, rna4270	SAKL-ORF12275, SAKL-ORF4752, SAKL-ORF4904, SAKL-ORF4909, SAKL-ORF4912, SAKL-ORF4916, SAKL-ORF5346	rna14, rna2191, rna2871, rna4723, rna841	Kwal_14.747, Kwal_23.5422, Kwal_23.6559, Kwal_47.16603, Kwal_55.19832, Kwal_56.24511	rna304	Sbay_10.20, Sbay_10.308, Sbay_12.256, Sbay_14.419, Sbay_8.437, Sbay_8.441, Sbay_8.443	rna3433, rna3779, rna4070, rna5222, rna5792, rna5796	Skud_12.19, Skud_12.278, Skud_14.396, Skud_15.547, Skud_15.551	Smik_12.272, Smik_12.8, Smik_14.394, Smik_15.562, Smik_5.8	Spar_11.7, Spar_12.15, Spar_12.322, Spar_14.431, Spar_15.599, Spar_15.603	
OG0000004	rna2035, rna524	SAKL-ORF8055, SAKL-ORF8056	rna3	Kwal_26.7243, Kwal_26.7673, Kwal_26.9047, Kwal_27.10096	rna2835, rna5040	Sbay_12.273, Sbay_14.7	rna1805, rna1940, rna2514, rna2519, rna2523, rna2524, rna3429, rna3434, rna4327, rna4824, rna5237, rna525, rna705	Skud_12.1, Skud_8.1	Smik_16.462, Smik_16.6, Smik_16.8, Smik_18.5, Smik_3.4, Smik_9.247, Smik_9.248, Smik_9.252	Spar_10.451, Spar_11.8, Spar_11.9, Spar_16.10, Spar_16.16, Spar_16.25, Spar_16.26, Spar_16.33, Spar_2.477, Spar_2.479, Spar_7.2, Spar_7.658, Spar_8.7, Spar_9.254, Spar_9.271	
OG0000005	rna1193, rna2043, rna2928, rna3584, rna457	SAKL-ORF4009, SAKL-ORF4358, SAKL-ORF6280, SAKL-ORF6358, SAKL-ORF8031, SAKL-ORF9756	rna1330, rna1342, rna2128, rna341, rna345, rna3773, rna4187, rna59, rna802	Kwal_14.722, Kwal_23.2794, Kwal_23.4853, Kwal_23.5241, Kwal_34.15711, Kwal_56.22298	rna1196, rna3392, rna5321, rna5322	Sbay_5.2, Sbay_8.12	rna1504, rna2520, rna2525, rna3763, rna528	Skud_18.6, Skud_5.24, Skud_8.3	Smik_5.22, Smik_8.1	Spar_11.400, Spar_5.9, Spar_8.13	rna4637, rna6379
OG0000006	rna2754, rna3111	SAKL-ORF1112, SAKL-ORF12284, SAKL-ORF2564, SAKL-ORF5683, SAKL-ORF6374	rna3178, rna4316	Kwal_26.7254, Kwal_33.14239, Kwal_56.23902	rna1300, rna1953, rna2863	Sbay_10.211, Sbay_10.212, Sbay_16.14, Sbay_2.305, Sbay_9.13	rna1944, rna1945, rna2975, rna3038, rna3949, rna3950	Skud_12.192, Skud_12.193, Skud_4.403, Skud_9.154	Smik_12.186, Smik_12.187, Smik_4.388, Smik_5.7, Smik_9.175	Spar_12.199, Spar_12.201, Spar_14.447, Spar_4.451, Spar_7.8, Spar_9.174	rna1861, rna6152
OG0000007	rna2528, rna2529	SAKL-ORF14523, SAKL-ORF6720, SAKL-ORF8070	rna2554, rna3055, rna616, rna626	Kwal_33.14566, Kwal_47.17872, Kwal_56.23863	rna3069, rna311, rna3148, rna3399, rna340, rna3511, rna3650, rna4899, rna5023, rna740	Sbay_15.10, Sbay_7.108, Sbay_7.236	rna1489, rna2049, rna2166, rna5257	Skud_15.4, Skud_5.12, Skud_7.115	Smik_15.4, Smik_4.822, Smik_7.116, Smik_7.247	Spar_15.20, Spar_4.913, Spar_7.121, Spar_7.260	rna1626, rna3266
OG0000008			rna548	Kwal_1.407, Kwal_1.410, Kwal_12.672, Kwal_12.675, Kwal_12.676, Kwal_13.691, Kwal_14.764, Kwal_14.767, Kwal_14.771, Kwal_2.424, Kwal_2.426, Kwal_20.2719, Kwal_23.3713, Kwal_23.3714, Kwal_23.3717, Kwal_26.7889, Kwal_26.7891, Kwal_27.11219, Kwal_27.12438, Kwal_33.15087, Kwal_33.15089, Kwal_34.16304, Kwal_34.16309, Kwal_34.16311, Kwal_39.16392, Kwal_39.16409, Kwal_47.17031, Kwal_47.17033, Kwal_47.17665, Kwal_47.19342, Kwal_47.19345, Kwal_50.19418, Kwal_50.19421, Kwal_54.19470, Kwal_55.19799, Kwal_55.22271, Kwal_60.24910, Kwal_9.616, Kwal_9.619, Kwal_9.621	rna3727						
OG0000009					rna1104, rna5397	Sbay_1.100, Sbay_1.79, Sbay_13.219, Sbay_8.398	rna2151, rna2152, rna601, rna84, rna87, rna88, rna89, rna90, rna91	Skud_1.78, Skud_1.79, Skud_1.82, Skud_1.86, Skud_1.87, Skud_1.88, Skud_13.255, Skud_3.71, Skud_3.88	Smik_1.101, Smik_1.102, Smik_1.105, Smik_1.89, Smik_1.90, Smik_1.91, Smik_13.228, Smik_3.91, Smik_9.244	Spar_1.105, Spar_1.107, Spar_1.108, Spar_1.110, Spar_1.114, Spar_1.117, Spar_1.90, Spar_1.99, Spar_3.88	
