Orthogroup	s_cerevisiae_proteins	s_bayanus_proteins
OG0000000	rna3909	Sbay_10.164, Sbay_10.165
OG0000000	rna708, rna3426, rna1500, rna5234	Sbay_12.263, Sbay_15.419
OG0000000	rna4477	Sbay_13.174
OG0000000	rna1856	Sbay_9.197
OG0000001	rna1847	Sbay_10.48
OG0000001	rna3418	Sbay_12.243
OG0000002	rna3233	Sbay_12.47
OG0000002	rna3803	Sbay_10.49
OG0000003	rna4070	Sbay_10.308
OG0000003	rna5796	Sbay_8.441, Sbay_8.443
OG0000003	rna5792	Sbay_8.437
OG0000003	rna5222	Sbay_12.256, Sbay_14.419
OG0000003	rna3779	Sbay_10.20
OG0000004	rna5237, rna3434, rna525, rna4327, rna1805, rna4824, rna705, rna3429, rna2514, rna2519, rna2523, rna2524, rna1940	Sbay_12.273, Sbay_14.7
OG0000005	rna1504	Sbay_5.2
OG0000005	rna2525	Sbay_8.12
OG0000006	rna1944, rna3038, rna1945	Sbay_16.14, Sbay_9.13
OG0000006	rna3950	Sbay_10.212
OG0000006	rna3949	Sbay_10.211
OG0000007	rna5257	Sbay_15.10
OG0000007	rna2166	Sbay_7.236
OG0000007	rna2049	Sbay_7.108
OG0000009	rna84	Sbay_1.79, Sbay_8.398
OG0000009	rna87, rna89, rna90, rna2151, rna91, rna2152	Sbay_1.100
OG0000010	rna2509, rna2818, rna3044, rna5251	Sbay_13.2
OG0000010	rna523, rna2512	Sbay_16.21
OG0000011	rna290	Sbay_4.308
OG0000012	rna4562	Sbay_13.261
OG0000012	rna4800	Sbay_4.394, Sbay_15.81, Sbay_13.494
OG0000013	rna6105	Sbay_16.335
OG0000013	rna6106	Sbay_16.338
OG0000015	rna1815	Sbay_6.2
OG0000015	rna2800, rna3759	Sbay_10.17
OG0000016	rna5912	Sbay_16.129
OG0000016	rna1388	Sbay_2.611
OG0000016	rna4449	Sbay_13.143
OG0000017	rna5586	Sbay_8.225
OG0000017	rna3431	Sbay_15.3, Sbay_15.2
OG0000018	rna915	Sbay_4.224
OG0000018	rna317	Sbay_4.339
OG0000018	rna100, rna2809	Sbay_9.1
OG0000018	rna318	Sbay_4.340
OG0000019	rna5232	Sbay_7.3
OG0000019	rna6034	Sbay_16.256
OG0000021	rna824	Sbay_4.124
