Node	Genes
s_cerevisiae	rna708
s_cerevisiae	rna1500
s_cerevisiae	rna3045
s_cerevisiae	rna3767
s_cerevisiae	rna0
s_cerevisiae	rna1490
s_cerevisiae	rna2521
s_cerevisiae	rna1942
s_cerevisiae	rna2814
s_cerevisiae	rna524
s_cerevisiae	rna700
s_cerevisiae	rna3039
s_cerevisiae	rna3430
s_cerevisiae	rna4822
s_cerevisiae	rna5805
s_cerevisiae	rna525
s_cerevisiae	rna4327
s_cerevisiae	rna1805
s_cerevisiae	rna4824
s_cerevisiae	rna705
s_cerevisiae	rna3429
s_cerevisiae	rna2514
s_cerevisiae	rna528
s_cerevisiae	rna1944
s_cerevisiae	rna3038
s_cerevisiae	rna90
s_cerevisiae	rna91
s_cerevisiae	rna2818
s_cerevisiae	rna3044
s_cerevisiae	rna523
s_cerevisiae	rna101
s_cerevisiae	rna103
s_cerevisiae	rna2811
s_cerevisiae	rna2517
s_cerevisiae	rna1803
s_cerevisiae	rna6296
s_cerevisiae	rna3766
s_cerevisiae	rna3764
s_cerevisiae	rna6297
s_cerevisiae	rna2812
s_cerevisiae	rna4326
s_cerevisiae	rna1798
s_cerevisiae	rna2515
s_cerevisiae	rna5808
s_cerevisiae	rna4823
s_cerevisiae	rna1491
s_cerevisiae	rna5807
s_cerevisiae	rna4325
s_cerevisiae	rna4324
s_cerevisiae	rna1804
s_cerevisiae	rna6295
s_cerevisiae	rna2516
s_cerevisiae	rna1802
s_cerevisiae	rna1492
s_cerevisiae	rna1494
s_cerevisiae	rna1495
s_cerevisiae	rna1797
s_cerevisiae	rna4322
s_cerevisiae	rna3041
s_cerevisiae	rna3
s_cerevisiae	rna8
s_cerevisiae	rna95
s_cerevisiae	rna2799
s_cerevisiae	rna2801
s_cerevisiae	rna2800
s_cerevisiae	rna100
s_cerevisiae	rna698
s_cerevisiae	rna2817
s_cerevisiae	rna3043
s_cerevisiae	rna529
s_cerevisiae	rna706
s_cerevisiae	rna699
s_cerevisiae	rna709
s_cerevisiae	rna3425
s_cerevisiae	rna1809
s_cerevisiae	rna1808
s_cerevisiae	rna4821
s_cerevisiae	rna5804
s_cerevisiae	rna4820
s_cerevisiae	rna5811
s_cerevisiae	rna4004
s_cerevisiae	rna4019
s_cerevisiae	rna4015
s_cerevisiae	rna703
s_cerevisiae	rna1807
s_cerevisiae	rna1946
s_cerevisiae	rna905
s_cerevisiae	rna707
s_cerevisiae	rna982
s_cerevisiae	rna983
s_cerevisiae	rna5802
s_cerevisiae	rna532
s_cerevisiae	rna5801
s_cerevisiae	rna5813
s_cerevisiae	rna1129
s_cerevisiae	rna98
s_cerevisiae	rna4464
s_cerevisiae	rna1115
s_cerevisiae	rna77
s_cerevisiae	rna1499
s_cerevisiae	rna530
s_cerevisiae	rna2963
s_cerevisiae	rna1411
s_cerevisiae	rna2977
s_cerevisiae	rna4005
s_cerevisiae	rna4009
s_cerevisiae	rna4012
s_cerevisiae	rna4016
s_cerevisiae	rna5124
s_cerevisiae	rna5125
s_cerevisiae	rna4003
s_cerevisiae	rna4007
s_cerevisiae	rna4018
s_cerevisiae	rna3426
s_cerevisiae	rna5234
s_cerevisiae	rna5252
s_cerevisiae	rna5239
s_cerevisiae	rna3042
s_cerevisiae	rna2513
s_cerevisiae	rna5809
s_cerevisiae	rna2519
s_cerevisiae	rna3763
s_cerevisiae	rna1945
s_cerevisiae	rna2151
s_cerevisiae	rna2152
s_cerevisiae	rna5251
s_cerevisiae	rna2512
s_cerevisiae	rna2813
s_cerevisiae	rna5
s_cerevisiae	rna3759
s_cerevisiae	rna2809
s_cerevisiae	rna697
s_cerevisiae	rna5227
s_cerevisiae	rna3762
s_cerevisiae	rna3428
s_cerevisiae	rna4320
s_cerevisiae	rna4828
s_cerevisiae	rna4827
s_cerevisiae	rna5810
s_cerevisiae	rna5803
s_cerevisiae	rna4008
s_cerevisiae	rna5242
s_cerevisiae	rna4826
s_cerevisiae	rna5799
s_cerevisiae	rna3015
s_cerevisiae	rna3427
s_cerevisiae	rna984
s_cerevisiae	rna5812
s_cerevisiae	rna643
s_cerevisiae	rna5814
s_cerevisiae	rna4510
s_cerevisiae	rna2804
s_cerevisiae	rna4465
s_cerevisiae	rna4111
s_cerevisiae	rna5235
s_cerevisiae	rna641
s_cerevisiae	rna6157
s_cerevisiae	rna5007
s_cerevisiae	rna2890
s_cerevisiae	rna4020
s_cerevisiae	rna5142
s_cerevisiae	rna5141
s_cerevisiae	rna4014
N9	rna5237
N9	rna3434
N9	rna2523
N9	rna2621
N9	rna5254
N9	rna2524
N9	rna2620
N9	rna2821
N8	rna87
N8	rna2509
N8	rna5228
N8	rna4092
N8	rna5487
N8	rna6209
N8	rna3424
N8	rna4829
N8	rna1656
N8	rna3867
N8	rna1940
N8	rna5608
N8	rna5832
N8	rna710
N8	rna1859
N8	rna2904
N7	rna3868
N7	rna89
N7	rna195
N7	rna520
N7	rna2510
N7	rna6290
N7	rna2985
N7	rna4654
N7	rna1816
N7	rna1793
N7	rna3802
N7	rna696
N7	rna1814
N7	rna521
N7	rna4739
N7	rna4653
N7	rna5276
N7	rna2522
N7	rna3423
N5	rna4477
N5	rna4321
N5	rna1524
N5	rna104
N5	rna1847
N5	rna5247
N5	rna3803
N5	rna5792
N5	rna3433
N5	rna2166
N5	rna84
N5	rna601
N5	rna1388
N5	rna915
N5	rna317
N5	rna4473
N5	rna3874
N5	rna3960
N5	rna971
N5	rna2765
N5	rna1648
N5	rna1649
N5	rna5019
N5	rna5086
N5	rna5733
