Orthogroup	s_cerevisiae_proteins	n_castellii_proteins
OG0000000	rna3909	rna5650
OG0000000	rna1856, rna4477	rna890, rna3988
OG0000000	rna1294, rna1295, rna2676	rna5135, rna4409
OG0000000	rna3045, rna5252	rna5637, rna3670, rna5313, rna2822, rna5645, rna4508, rna5642, rna305, rna4097
OG0000000	rna2677, rna1296	rna4410
OG0000000	rna2678	rna5136
OG0000001	rna1504	rna3392
OG0000001	rna2525	rna5322
OG0000002	rna5257	rna311
OG0000002	rna2166, rna2049	rna3148, rna3399, rna3069, rna5023, rna340, rna3511, rna740, rna4899, rna3650
OG0000003	rna5796, rna5792, rna3433, rna5222, rna3779	rna304
OG0000004	rna2975	rna1300
OG0000004	rna3949	rna2863
OG0000004	rna3950	rna1953
OG0000005	rna90, rna2151, rna91, rna2152, rna87, rna601, rna84, rna88	rna1104, rna5397, rna5040
OG0000006	rna3233	rna112
OG0000006	rna3803, rna66	rna3125
OG0000006	rna1699	rna1509
OG0000006	rna138	rna3927
OG0000007	rna4562	rna797
OG0000007	rna5324, rna4800	rna5488, rna5553
OG0000009	rna5578, rna5586	rna4116
OG0000009	rna4124	rna3431
OG0000012	rna6105	rna2065
OG0000012	rna6106	rna2959
OG0000013	rna3604	rna5256
OG0000014	rna3140	rna1002
OG0000014	rna3698	rna2404
OG0000014	rna5087, rna2867	rna2256, rna4806
OG0000015	rna4803	rna3394
OG0000015	rna2240, rna4199	rna5707
OG0000016	rna3208, rna2415, rna3274	rna3337, rna733, rna1126
OG0000017	rna5405	rna3359
OG0000017	rna4473, rna4474	rna5315, rna5034
OG0000018	rna2450	rna2881
OG0000020	rna5912	rna5054
OG0000020	rna1388, rna4449	rna5217
OG0000021	rna2294, rna3960, rna3874	rna3319, rna1528, rna1489
OG0000023	rna2765, rna5921	rna3591, rna2947, rna1665, rna1703, rna4060, rna3278, rna2748, rna5809
OG0000024	rna878	rna249
OG0000024	rna5150, rna4033	rna900
OG0000025	rna621	rna1844, rna1697, rna2594, rna1687
OG0000025	rna971, rna272	rna1094, rna5482
OG0000026	rna1648, rna1643, rna1649	rna3983, rna3985, rna3993, rna3984, rna1410, rna3987
OG0000027	rna5568	rna5191
OG0000027	rna1362	rna1259, rna4126
OG0000028	rna3926	rna2111
OG0000028	rna5749	rna3899
OG0000029	rna3759	rna2874
OG0000030	rna5019, rna699, rna4320	rna3605, rna4673, rna3890, rna4739
OG0000031	rna4794	rna4310
OG0000031	rna360	rna5547
OG0000032	rna3782	rna5649
OG0000032	rna2529	rna3143
OG0000033	rna225, rna5128	rna2223, rna3808, rna4887
OG0000034	rna6090	rna2074
OG0000034	rna599, rna5159	rna3046
OG0000035	rna1322, rna5535	rna4439, rna5152
OG0000036	rna1458, rna572	rna32, rna2472
OG0000037	rna4092, rna5487, rna5608	rna2802
OG0000038	rna5646	rna1738
OG0000038	rna5645	rna1737
OG0000038	rna5954	rna2678
OG0000039	rna6018	rna2731
OG0000039	rna1631	rna3838
OG0000040	rna2057, rna5086	rna2259, rna3226
OG0000041	rna307	rna5450
OG0000041	rna2427	rna748
OG0000042	rna2293	rna1193, rna3785
OG0000042	rna6086	rna5695
OG0000043	rna1171	rna1052
OG0000043	rna1171	rna1870
OG0000044	rna894	rna234, rna5764
OG0000044	rna3083	rna5613
OG0000045	rna5884	rna96
OG0000045	rna2526	rna3147
OG0000046	rna5705	rna2613
OG0000046	rna2864	rna2260
OG0000047	rna5353, rna6209, rna5832	rna2903
OG0000048	rna5699	rna1652
OG0000048	rna5700	rna1653
OG0000049	rna2926	rna1423
OG0000049	rna1660	rna4003
OG0000050	rna5414	rna5098
OG0000050	rna1441	rna3033, rna5577
OG0000052	rna741	rna3310
OG0000053	rna679	rna3644
OG0000053	rna3873	rna754
OG0000054	rna815, rna767	rna1446, rna4035
OG0000055	rna2871	rna2253
OG0000056	rna76, rna3866	rna589
OG0000058	rna18	rna780
OG0000058	rna5777	rna5339
OG0000059	rna3085	rna5611
OG0000060	rna5733, rna2985, rna4739	rna2592
OG0000061	rna1475	rna15
OG0000061	rna3105	rna5728
OG0000062	rna4896	rna54
OG0000062	rna4928	rna4641
OG0000063	rna2797	rna312
OG0000063	rna1781	rna2090
OG0000064	rna4537	rna839
OG0000065	rna1170	rna1053
OG0000065	rna215	rna1871
OG0000066	rna758	rna4043
OG0000066	rna808	rna1453
OG0000067	rna6005	rna5533, rna2720, rna2767
OG0000068	rna3695	rna2402
OG0000069	rna4405, rna2810, rna4293	rna281
OG0000070	rna340, rna6165	rna1172, rna5413
OG0000071	rna2624	rna671
OG0000071	rna3496	rna4341
OG0000072	rna1446, rna5305	rna3016, rna5571
OG0000073	rna950	rna3830, rna3831, rna3832
OG0000074	rna4654, rna4653	rna3235
OG0000075	rna1531	rna4936
OG0000075	rna3312	rna1357
OG0000076	rna5524	rna2298
OG0000076	rna5046	rna4768
OG0000078	rna4575, rna1808, rna4827	rna5316
