Orthogroup	k_lactis_proteins	l_kluyveri_v2_proteins	l_thermotolerans_proteins	l_waltii_v3_proteins	n_castellii_proteins	s_bayanus_proteins	s_cerevisiae_proteins	s_kudriavzevii_proteins	s_mikatae_proteins	s_paradoxus_proteins	schizo_pombe_proteins
OG0006546	rna18										
OG0006547	rna33										
OG0006548	rna62										
OG0006549	rna103										
OG0006550	rna105										
OG0006551	rna144										
OG0006552	rna197										
OG0006553	rna228										
OG0006554	rna238										
OG0006555	rna245										
OG0006556	rna254										
OG0006557	rna268										
OG0006558	rna269										
OG0006559	rna281										
OG0006560	rna381										
OG0006561	rna427										
OG0006562	rna453										
OG0006563	rna460										
OG0006564	rna480										
OG0006565	rna481										
OG0006566	rna486										
OG0006567	rna522										
OG0006568	rna525										
OG0006569	rna529										
OG0006570	rna604										
OG0006571	rna627										
OG0006572	rna683										
OG0006573	rna693										
OG0006574	rna717										
OG0006575	rna755										
OG0006576	rna908										
OG0006577	rna921										
OG0006578	rna940										
OG0006579	rna964										
OG0006580	rna966										
OG0006581	rna967										
OG0006582	rna973										
OG0006583	rna983										
OG0006584	rna990										
OG0006585	rna1081										
OG0006586	rna1172										
OG0006587	rna1178										
OG0006588	rna1183										
OG0006589	rna1185										
OG0006590	rna1186										
OG0006591	rna1192										
OG0006592	rna1194										
OG0006593	rna1200										
OG0006594	rna1205										
OG0006595	rna1209										
OG0006596	rna1211										
OG0006597	rna1223										
OG0006598	rna1249										
OG0006599	rna1252										
OG0006600	rna1392										
OG0006601	rna1402										
OG0006602	rna1404										
OG0006603	rna1416										
OG0006604	rna1423										
OG0006605	rna1430										
OG0006606	rna1556										
OG0006607	rna1590										
OG0006608	rna1654										
OG0006609	rna1675										
OG0006610	rna1693										
OG0006611	rna1695										
OG0006612	rna1717										
OG0006613	rna1737										
OG0006614	rna1764										
OG0006615	rna1836										
OG0006616	rna1841										
OG0006617	rna1845										
OG0006618	rna1847										
OG0006619	rna1906										
OG0006620	rna1933										
OG0006621	rna1952										
OG0006622	rna2018										
OG0006623	rna2021										
OG0006624	rna2032										
OG0006625	rna2038										
OG0006626	rna2039										
OG0006627	rna2040										
OG0006628	rna2050										
OG0006629	rna2059										
OG0006630	rna2062										
OG0006631	rna2070										
OG0006632	rna2072										
OG0006633	rna2089										
OG0006634	rna2124										
OG0006635	rna2147										
OG0006636	rna2178										
OG0006637	rna2192										
OG0006638	rna2212										
OG0006639	rna2220										
OG0006640	rna2221										
OG0006641	rna2231										
OG0006642	rna2250										
OG0006643	rna2327										
OG0006644	rna2348										
OG0006645	rna2376										
OG0006646	rna2422										
OG0006647	rna2429										
OG0006648	rna2431										
OG0006649	rna2449										
