Orthogroup	s_cerevisiae_proteins	l_waltii_v3_proteins
OG0000000	rna3909	Kwal_55.20075
OG0000000	rna3049, rna708, rna3426, rna1500, rna5234	Kwal_26.6680, Kwal_26.6686, Kwal_55.19582, Kwal_56.22285
OG0000000	rna4477, rna1856	Kwal_14.854
OG0000002	rna3233	Kwal_23.2889
OG0000002	rna3803, rna66	Kwal_14.2130
OG0000003	rna4070	Kwal_56.24511
OG0000003	rna5792, rna3433, rna5222	Kwal_14.747, Kwal_47.16603, Kwal_23.6559
OG0000004	rna5237, rna3434, rna525, rna4327, rna1805, rna4824, rna705, rna3429, rna2514, rna2519, rna2523, rna2524, rna1940	Kwal_26.9047, Kwal_27.10096, Kwal_26.7243, Kwal_26.7673
OG0000005	rna1504	Kwal_23.5241, Kwal_23.4853
OG0000005	rna528, rna3763	Kwal_14.722
OG0000005	rna2520	Kwal_34.15711, Kwal_23.2794
OG0000006	rna1944, rna3038, rna1945, rna3950, rna3949	Kwal_56.23902, Kwal_26.7254
OG0000007	rna5257, rna2166, rna2049, rna1489	Kwal_56.23863
OG0000012	rna4562	Kwal_26.7799
OG0000012	rna4800	Kwal_55.20564, Kwal_56.23198
OG0000014	rna101, rna103, rna2811, rna2517, rna1803, rna6296, rna3766, rna3764, rna6297, rna2812, rna4326, rna1798, rna2515, rna5808, rna4823, rna1491, rna5807, rna4325, rna4324, rna1804, rna6295, rna2516, rna1802, rna1492, rna1494, rna1495, rna1797, rna4322, rna3041, rna2813	Kwal_2.442
OG0000015	rna3, rna8, rna95, rna2799, rna2801, rna5, rna1815, rna2800, rna3759	Kwal_27.12846, Kwal_27.9651, Kwal_47.16790
OG0000016	rna1729	Kwal_55.20745
OG0000016	rna5912	Kwal_27.11100
OG0000016	rna1388, rna4449	Kwal_47.18536
OG0000017	rna5586	Kwal_47.18089
OG0000017	rna3431	Kwal_23.6425
OG0000018	rna915, rna317, rna100, rna2809, rna318	Kwal_23.5447
OG0000019	rna5232, rna950	Kwal_23.5161
OG0000021	rna3105	Kwal_33.13926
OG0000021	rna1475	Kwal_33.13088
OG0000022	rna195, rna696, rna5228, rna698, rna697, rna2817, rna3043, rna5227	Kwal_17.2691, Kwal_14.2126
OG0000024	rna520, rna1814, rna2510, rna6290	Kwal_34.15751
OG0000025	rna3208, rna2415	Kwal_33.15428, Kwal_56.23192, Kwal_47.17049
OG0000026	rna4803	Kwal_26.9577
OG0000027	rna3099	Kwal_33.13881
OG0000028	rna529, rna3762	Kwal_14.728
OG0000028	rna6291	Kwal_26.9616
OG0000029	rna2511	Kwal_27.11079
OG0000030	rna4473	Kwal_56.22510
OG0000031	rna1717	Kwal_47.17314
OG0000032	rna3874, rna3960, rna2294	Kwal_33.15540
OG0000033	rna621	Kwal_34.15867
OG0000034	rna960	Kwal_56.22971
OG0000035	rna2765, rna5921	Kwal_47.16561
OG0000036	rna5888	Kwal_56.24059
OG0000037	rna4893	Kwal_33.13411
OG0000038	rna1648, rna1649, rna1643	Kwal_23.5819, Kwal_34.15730
OG0000039	rna878	Kwal_23.4210
OG0000040	rna5749	Kwal_26.7014
OG0000041	rna5019, rna699, rna4320	Kwal_33.14694
OG0000043	rna5127	Kwal_27.11478
OG0000043	rna226	Kwal_27.10967
OG0000044	rna5742	Kwal_26.6702, Kwal_27.9666, Kwal_27.12821
