Orthogroup	s_cerevisiae_proteins	l_kluyveri_v2_proteins
OG0000000	rna3049	SAKL-ORF13165, SAKL-ORF12605
OG0000000	rna3909	SAKL-ORF13237
OG0000000	rna1856, rna4477	SAKL-ORF2653
OG0000000	rna2677, rna1296, rna2678	SAKL-ORF3910
OG0000001	rna1504	SAKL-ORF9756
OG0000001	rna2520	SAKL-ORF8031, SAKL-ORF6358
OG0000001	rna2525	SAKL-ORF6280, SAKL-ORF4358
OG0000002	rna5257	SAKL-ORF8070
OG0000002	rna2166, rna2049	SAKL-ORF14523
OG0000003	rna3779	SAKL-ORF4752, SAKL-ORF4916, SAKL-ORF4912, SAKL-ORF4909, SAKL-ORF4904
OG0000004	rna2975	SAKL-ORF5683
OG0000004	rna3038	SAKL-ORF6374, SAKL-ORF2564
OG0000004	rna1089, rna3949, rna3950	SAKL-ORF1112
OG0000006	rna3233	SAKL-ORF3493
OG0000006	rna3803, rna66	SAKL-ORF669
OG0000006	rna1699, rna138	SAKL-ORF5158
OG0000007	rna4562	SAKL-ORF13694, SAKL-ORF7748
OG0000007	rna365	SAKL-ORF2558
OG0000008	rna3048	SAKL-ORF12611, SAKL-ORF15177, SAKL-ORF15168, SAKL-ORF15772, SAKL-ORF13156
OG0000009	rna5578, rna5586, rna4124	SAKL-ORF14857
OG0000009	rna3431	TCONS_novel_00000043_3-frame_1
OG0000010	rna1940, rna5237, rna3434, rna705, rna3429, rna525, rna4327, rna1805, rna4824, rna2514, rna2519	SAKL-ORF8056
OG0000011	rna915, rna317, rna100, rna2809, rna318	SAKL-ORF2940
OG0000012	rna6105, rna6106	SAKL-ORF14753, SAKL-ORF8072, SAKL-ORF14612, SAKL-ORF14596
OG0000013	rna226	SAKL-ORF7244
OG0000013	rna5127	SAKL-ORF7244
OG0000013	rna3604	SAKL-ORF13361
OG0000014	rna3698	SAKL-ORF10938
OG0000014	rna5087, rna2867	SAKL-ORF7078
OG0000015	rna4803	SAKL-ORF2546
OG0000015	rna2240, rna4199	SAKL-ORF14109
OG0000016	rna3208, rna2415, rna3274	SAKL-ORF2919, SAKL-ORF10084, SAKL-ORF3250
OG0000017	rna5405, rna4473, rna4474	SAKL-ORF7858, SAKL-ORF7853
OG0000018	rna6291	SAKL-ORF14858
OG0000018	rna2450	SAKL-ORF15693, SAKL-ORF11453, SAKL-ORF13212, SAKL-ORF6347
OG0000019	rna2511	SAKL-ORF15173, SAKL-ORF7457
OG0000020	rna5912	SAKL-ORF15193
OG0000020	rna1388, rna4449	SAKL-ORF4147
OG0000021	rna2294, rna3960, rna3874	SAKL-ORF3641, SAKL-ORF3177
OG0000022	rna1814, rna520, rna6290, rna2510	SAKL-ORF14076
OG0000023	rna2765, rna5921	SAKL-ORF456, SAKL-ORF13092, TCONS_novel_00000800_1-frame_2
OG0000024	rna878	SAKL-ORF2317
OG0000024	rna4033	SAKL-ORF8735
OG0000025	rna621	SAKL-ORF13930
OG0000025	rna971, rna272	SAKL-ORF9202
OG0000026	rna1648, rna1643, rna1649	SAKL-ORF5533
OG0000027	rna5742, rna5568, rna1362	SAKL-ORF11000, SAKL-ORF9786, SAKL-ORF3861
OG0000028	rna5749	SAKL-ORF13441
OG0000029	rna2799, rna8, rna95	SAKL-ORF10373, SAKL-ORF2642
OG0000029	rna3759	SAKL-ORF1077
OG0000030	rna5019, rna699, rna4320	SAKL-ORF6779, SAKL-ORF6774
OG0000031	rna4794	SAKL-ORF2485
OG0000031	rna360	SAKL-ORF638, SAKL-ORF9987
OG0000032	rna3782	SAKL-ORF29
OG0000033	rna225, rna5128	SAKL-ORF9905, SAKL-ORF7246
OG0000034	rna6090	SAKL-ORF14215
OG0000035	rna1322, rna5535	SAKL-ORF4424
OG0000036	rna1458, rna572	SAKL-ORF9272, SAKL-ORF1842, SAKL-ORF12856, SAKL-ORF12754
OG0000037	rna4092, rna5487, rna5608	SAKL-ORF13230, SAKL-ORF5681, SAKL-ORF1345, SAKL-ORF8942, SAKL-ORF8937
OG0000039	rna6018	SAKL-ORF1671
OG0000039	rna1631	SAKL-ORF5603
OG0000040	rna2057, rna5086	SAKL-ORF7300, SAKL-ORF7064
OG0000041	rna307	SAKL-ORF13871
OG0000041	rna2427	SAKL-ORF3204
OG0000042	rna2293	SAKL-ORF13582
OG0000042	rna6086	SAKL-ORF14227
OG0000043	rna214, rna1171	SAKL-ORF9815
OG0000044	rna894	SAKL-ORF2242
OG0000045	rna5884	SAKL-ORF15322
OG0000045	rna2526	SAKL-ORF16
OG0000046	rna2864	SAKL-ORF7061
OG0000047	rna5353, rna6209, rna5832	SAKL-ORF10802
OG0000048	rna5699	SAKL-ORF2145
OG0000048	rna5700	SAKL-ORF2146
OG0000049	rna2926, rna1660	SAKL-ORF1861, SAKL-ORF5498
OG0000050	rna5414	SAKL-ORF7888
OG0000050	rna1441	SAKL-ORF10344
OG0000051	rna709, rna3425, rna1809, rna4828	SAKL-ORF3466
OG0000052	rna741	SAKL-ORF9444, SAKL-ORF3186, SAKL-ORF3138, SAKL-ORF6438
OG0000053	rna679	SAKL-ORF15687
OG0000053	rna3873	SAKL-ORF3184
OG0000054	rna815, rna767	SAKL-ORF1701, SAKL-ORF5399
OG0000055	rna2871	SAKL-ORF7095, SAKL-ORF14372, SAKL-ORF14377, SAKL-ORF14360, SAKL-ORF14387, SAKL-ORF14122
OG0000058	rna18, rna5777	SAKL-ORF14308, SAKL-ORF14306, SAKL-ORF8150, SAKL-ORF8152
OG0000059	rna3085	SAKL-ORF11634, SAKL-ORF13122
OG0000060	rna5733, rna2985, rna4739	SAKL-ORF13923
OG0000061	rna1475, rna3105	SAKL-ORF11376, SAKL-ORF11373
OG0000062	rna4896	SAKL-ORF12318
OG0000062	rna4928	SAKL-ORF6503
OG0000063	rna2797	SAKL-ORF194
OG0000063	rna1781	SAKL-ORF885
OG0000064	rna1825	SAKL-ORF14440
OG0000064	rna4537	SAKL-ORF13279
OG0000065	rna1170	SAKL-ORF1404
OG0000066	rna758, rna808	SAKL-ORF5374
OG0000068	rna3695	SAKL-ORF9470, SAKL-ORF9127
OG0000070	rna340, rna6165	SAKL-ORF13685
OG0000071	rna2624, rna3496	SAKL-ORF3596
OG0000072	rna1446, rna5305	SAKL-ORF9835, SAKL-ORF10306
OG0000073	rna5232, rna950	SAKL-ORF9792
OG0000074	rna4654, rna4653	SAKL-ORF7338, SAKL-ORF7342
OG0000075	rna1531, rna3312	SAKL-ORF8401
