Genes	Orthogroup	Clade	Node
rna1	OG0005361	s_cerevisiae	s_cerevisiae
rna6	OG0048593	s_cerevisiae	s_cerevisiae
rna7	OG0048594	s_cerevisiae	s_cerevisiae
rna31	OG0048595	s_cerevisiae	s_cerevisiae
rna93	OG0048596	s_cerevisiae	s_cerevisiae
rna97	OG0006105	s_cerevisiae	s_cerevisiae
rna99	OG0048597	s_cerevisiae	s_cerevisiae
rna113	OG0048598	s_cerevisiae	s_cerevisiae
rna142	OG0048599	s_cerevisiae	s_cerevisiae
rna153	OG0048600	s_cerevisiae	s_cerevisiae
rna166	OG0048601	s_cerevisiae	s_cerevisiae
rna205	OG0048602	s_cerevisiae	s_cerevisiae
rna277	OG0048603	s_cerevisiae	s_cerevisiae
rna294	OG0048604	s_cerevisiae	s_cerevisiae
rna315	OG0048605	s_cerevisiae	s_cerevisiae
rna348	OG0048606	s_cerevisiae	s_cerevisiae
rna402	OG0048607	s_cerevisiae	s_cerevisiae
rna416	OG0048608	s_cerevisiae	s_cerevisiae
rna417	OG0048609	s_cerevisiae	s_cerevisiae
rna422	OG0048610	s_cerevisiae	s_cerevisiae
rna445	OG0048611	s_cerevisiae	s_cerevisiae
rna519	OG0048612	s_cerevisiae	s_cerevisiae
rna522	OG0048613	s_cerevisiae	s_cerevisiae
rna537	OG0048614	s_cerevisiae	s_cerevisiae
rna543	OG0048615	s_cerevisiae	s_cerevisiae
rna549	OG0048616	s_cerevisiae	s_cerevisiae
rna555	OG0048617	s_cerevisiae	s_cerevisiae
rna624	OG0048618	s_cerevisiae	s_cerevisiae
rna652	OG0048619	s_cerevisiae	s_cerevisiae
rna691	OG0048620	s_cerevisiae	s_cerevisiae
rna704	OG0048621	s_cerevisiae	s_cerevisiae
rna765	OG0048622	s_cerevisiae	s_cerevisiae
rna788	OG0048623	s_cerevisiae	s_cerevisiae
rna812	OG0048624	s_cerevisiae	s_cerevisiae
rna916	OG0048625	s_cerevisiae	s_cerevisiae
rna929	OG0048626	s_cerevisiae	s_cerevisiae
rna932	OG0048627	s_cerevisiae	s_cerevisiae
rna976	OG0048628	s_cerevisiae	s_cerevisiae
rna978	OG0048629	s_cerevisiae	s_cerevisiae
rna1061	OG0048630	s_cerevisiae	s_cerevisiae
rna1112	OG0048631	s_cerevisiae	s_cerevisiae
rna1140	OG0048632	s_cerevisiae	s_cerevisiae
rna1192	OG0048633	s_cerevisiae	s_cerevisiae
rna1453	OG0048634	s_cerevisiae	s_cerevisiae
rna1474	OG0048635	s_cerevisiae	s_cerevisiae
rna1502	OG0048636	s_cerevisiae	s_cerevisiae
rna1537	OG0048637	s_cerevisiae	s_cerevisiae
rna1539	OG0048638	s_cerevisiae	s_cerevisiae
rna1593	OG0048639	s_cerevisiae	s_cerevisiae
rna1620	OG0048640	s_cerevisiae	s_cerevisiae
rna1671	OG0048641	s_cerevisiae	s_cerevisiae
rna1782	OG0048642	s_cerevisiae	s_cerevisiae
rna1794	OG0048643	s_cerevisiae	s_cerevisiae
rna1796	OG0005364	s_cerevisiae	s_cerevisiae
rna1799	OG0006113	s_cerevisiae	s_cerevisiae
rna1800	OG0006113	s_cerevisiae	s_cerevisiae
rna1801	OG0048644	s_cerevisiae	s_cerevisiae
rna1824	OG0048645	s_cerevisiae	s_cerevisiae
rna1855	OG0048646	s_cerevisiae	s_cerevisiae
rna1857	OG0048647	s_cerevisiae	s_cerevisiae
rna1886	OG0048648	s_cerevisiae	s_cerevisiae
rna1918	OG0048649	s_cerevisiae	s_cerevisiae
rna1939	OG0048650	s_cerevisiae	s_cerevisiae
rna1943	OG0005361	s_cerevisiae	s_cerevisiae
rna1969	OG0048651	s_cerevisiae	s_cerevisiae
rna2019	OG0048652	s_cerevisiae	s_cerevisiae
rna2038	OG0048653	s_cerevisiae	s_cerevisiae
rna2162	OG0048654	s_cerevisiae	s_cerevisiae
rna2197	OG0048655	s_cerevisiae	s_cerevisiae
rna2198	OG0048656	s_cerevisiae	s_cerevisiae
rna2239	OG0048657	s_cerevisiae	s_cerevisiae
rna2244	OG0048658	s_cerevisiae	s_cerevisiae
rna2260	OG0048659	s_cerevisiae	s_cerevisiae
rna2333	OG0048660	s_cerevisiae	s_cerevisiae
rna2361	OG0048661	s_cerevisiae	s_cerevisiae
rna2397	OG0048662	s_cerevisiae	s_cerevisiae
rna2428	OG0048663	s_cerevisiae	s_cerevisiae
rna2465	OG0048664	s_cerevisiae	s_cerevisiae
rna2518	OG0048665	s_cerevisiae	s_cerevisiae
rna2550	OG0048666	s_cerevisiae	s_cerevisiae
rna2578	OG0048667	s_cerevisiae	s_cerevisiae
rna2598	OG0048668	s_cerevisiae	s_cerevisiae
rna2628	OG0048669	s_cerevisiae	s_cerevisiae
rna2670	OG0048670	s_cerevisiae	s_cerevisiae
rna2758	OG0048671	s_cerevisiae	s_cerevisiae
rna2761	OG0048672	s_cerevisiae	s_cerevisiae
rna2787	OG0048673	s_cerevisiae	s_cerevisiae
rna2802	OG0048674	s_cerevisiae	s_cerevisiae
rna2803	OG0006105	s_cerevisiae	s_cerevisiae
rna2807	OG0048675	s_cerevisiae	s_cerevisiae
rna2808	OG0048676	s_cerevisiae	s_cerevisiae
rna2823	OG0048677	s_cerevisiae	s_cerevisiae
rna2825	OG0048678	s_cerevisiae	s_cerevisiae
rna2850	OG0048679	s_cerevisiae	s_cerevisiae
rna2854	OG0048680	s_cerevisiae	s_cerevisiae
rna2886	OG0048681	s_cerevisiae	s_cerevisiae
rna2937	OG0048682	s_cerevisiae	s_cerevisiae
rna2945	OG0048683	s_cerevisiae	s_cerevisiae
rna3014	OG0048684	s_cerevisiae	s_cerevisiae
rna3020	OG0048685	s_cerevisiae	s_cerevisiae
rna3098	OG0048686	s_cerevisiae	s_cerevisiae
rna3120	OG0048687	s_cerevisiae	s_cerevisiae
rna3151	OG0048688	s_cerevisiae	s_cerevisiae
rna3182	OG0048689	s_cerevisiae	s_cerevisiae
rna3183	OG0048690	s_cerevisiae	s_cerevisiae
rna3184	OG0048691	s_cerevisiae	s_cerevisiae
rna3239	OG0048692	s_cerevisiae	s_cerevisiae
rna3345	OG0048693	s_cerevisiae	s_cerevisiae
rna3387	OG0048694	s_cerevisiae	s_cerevisiae
rna3414	OG0048695	s_cerevisiae	s_cerevisiae
rna3420	OG0048696	s_cerevisiae	s_cerevisiae
rna3471	OG0048697	s_cerevisiae	s_cerevisiae
rna3543	OG0048698	s_cerevisiae	s_cerevisiae
rna3552	OG0048699	s_cerevisiae	s_cerevisiae
rna3609	OG0048700	s_cerevisiae	s_cerevisiae
rna3765	OG0048701	s_cerevisiae	s_cerevisiae
rna3821	OG0048702	s_cerevisiae	s_cerevisiae
rna4003	OG0005103	s_cerevisiae	s_cerevisiae
rna4005	OG0005104	s_cerevisiae	s_cerevisiae
rna4007	OG0005103	s_cerevisiae	s_cerevisiae
rna4009	OG0005104	s_cerevisiae	s_cerevisiae
rna4014	OG0005103	s_cerevisiae	s_cerevisiae
rna4016	OG0005104	s_cerevisiae	s_cerevisiae
rna4018	OG0005103	s_cerevisiae	s_cerevisiae
rna4020	OG0005104	s_cerevisiae	s_cerevisiae
rna4022	OG0048703	s_cerevisiae	s_cerevisiae
rna4122	OG0048704	s_cerevisiae	s_cerevisiae
rna4141	OG0048705	s_cerevisiae	s_cerevisiae
rna4200	OG0048706	s_cerevisiae	s_cerevisiae
rna4216	OG0048707	s_cerevisiae	s_cerevisiae
rna4264	OG0048708	s_cerevisiae	s_cerevisiae
rna4273	OG0048709	s_cerevisiae	s_cerevisiae
rna4276	OG0048710	s_cerevisiae	s_cerevisiae
rna4308	OG0048711	s_cerevisiae	s_cerevisiae
rna4359	OG0048712	s_cerevisiae	s_cerevisiae
rna4409	OG0048713	s_cerevisiae	s_cerevisiae
rna4468	OG0048714	s_cerevisiae	s_cerevisiae
rna4508	OG0048715	s_cerevisiae	s_cerevisiae
rna4564	OG0048716	s_cerevisiae	s_cerevisiae
rna4585	OG0048717	s_cerevisiae	s_cerevisiae
rna4660	OG0048718	s_cerevisiae	s_cerevisiae
rna4668	OG0048719	s_cerevisiae	s_cerevisiae
rna4721	OG0048720	s_cerevisiae	s_cerevisiae
rna4735	OG0048721	s_cerevisiae	s_cerevisiae
rna4743	OG0048722	s_cerevisiae	s_cerevisiae
rna4768	OG0048723	s_cerevisiae	s_cerevisiae
rna4813	OG0048724	s_cerevisiae	s_cerevisiae
rna4815	OG0048725	s_cerevisiae	s_cerevisiae
rna4821	OG0005373	s_cerevisiae	s_cerevisiae
rna4857	OG0048726	s_cerevisiae	s_cerevisiae
rna4884	OG0048727	s_cerevisiae	s_cerevisiae
