Orthogroup	s_cerevisiae_proteins	s_paradoxus_proteins
OG0000000	rna708, rna3426	Spar_4.16
OG0000000	rna1500, rna5234	Spar_14.441, Spar_16.36
OG0000000	rna3049	Spar_6.23, Spar_10.17
OG0000000	rna3909	Spar_12.155
OG0000000	rna1856	Spar_6.80
OG0000000	rna4477	Spar_13.168
OG0000000	rna1294, rna1295	Spar_4.619
OG0000000	rna2676	Spar_8.176
OG0000000	rna3045, rna5252	Spar_15.13, Spar_9.2
OG0000000	rna1296	Spar_4.617
OG0000000	rna2678	Spar_8.180
OG0000001	rna1504	Spar_5.9
OG0000001	rna528, rna3763	Spar_11.400
OG0000001	rna2525	Spar_8.13
OG0000002	rna1489	Spar_4.913
OG0000002	rna5257	Spar_15.20
OG0000002	rna2166	Spar_7.260
OG0000002	rna2049	Spar_7.121
OG0000003	rna5796	Spar_15.603
OG0000003	rna5792	Spar_15.599
OG0000003	rna3433	Spar_11.7
OG0000003	rna5222	Spar_14.431
OG0000003	rna3779	Spar_12.15
OG0000004	rna2975	Spar_9.174
OG0000004	rna3038	Spar_7.8
OG0000004	rna1089	Spar_4.451
OG0000004	rna3949	Spar_12.199
OG0000004	rna3950	Spar_12.201
OG0000005	rna90, rna2151	Spar_1.107, Spar_1.114, Spar_1.105
OG0000005	rna91, rna2152	Spar_1.117
OG0000005	rna87	Spar_1.99
OG0000005	rna601	Spar_3.88
OG0000005	rna84	Spar_1.90
OG0000006	rna3233	Spar_10.229
OG0000006	rna3803	Spar_12.48
OG0000006	rna66	Spar_1.73
OG0000006	rna1699	Spar_5.276
OG0000006	rna138	Spar_2.48
OG0000007	rna4562	Spar_13.256
OG0000007	rna5324	Spar_15.91
OG0000007	rna4800	Spar_13.501
OG0000007	rna365	Spar_2.305
OG0000008	rna523, rna2512	Spar_7.653
OG0000008	rna2509	Spar_7.642
OG0000008	rna2818, rna3044, rna5251	Spar_15.12
OG0000008	rna3048	Spar_10.16
OG0000009	rna5578	Spar_15.355
OG0000009	rna5586	Spar_15.364
OG0000009	rna4124	Spar_12.382
OG0000009	rna3431	Spar_11.5
OG0000010	rna1940	Spar_16.25, Spar_8.7
OG0000010	rna5237	Spar_16.33, Spar_16.16
OG0000010	rna3434	Spar_11.8
OG0000010	rna705, rna3429, rna525, rna4327, rna1805, rna4824, rna2514, rna2519	Spar_10.451
OG0000011	rna915	Spar_4.254
OG0000011	rna317	Spar_2.251
OG0000011	rna100, rna2809	Spar_8.343
OG0000012	rna6105	Spar_16.359
OG0000012	rna6106	Spar_16.361
OG0000013	rna226	Spar_14.330
OG0000013	rna226	Spar_2.147
OG0000013	rna5127	Spar_14.330
OG0000013	rna5127	Spar_2.147
OG0000013	rna3604	Spar_11.220
OG0000014	rna3140	Spar_10.123
OG0000014	rna3698	Spar_11.333
OG0000014	rna5087	Spar_14.274
OG0000014	rna2867	Spar_9.50
OG0000015	rna4803	Spar_13.505
OG0000015	rna2240	Spar_7.339
OG0000015	rna4199	Spar_12.472
OG0000016	rna3208	Spar_10.193
OG0000016	rna2415	Spar_7.549
OG0000016	rna3274	Spar_10.280
OG0000017	rna5405	Spar_15.179
OG0000017	rna4473	Spar_13.163
OG0000017	rna4474	Spar_13.165
OG0000018	rna6291	Spar_16.573
OG0000018	rna529, rna3762	Spar_11.399
OG0000018	rna2450	Spar_7.584
OG0000019	rna2511	Spar_10.12, Spar_7.644
OG0000019	rna706, rna3428	Spar_4.13
OG0000019	rna521	Spar_7.648, Spar_7.650
OG0000020	rna5912	Spar_16.145
OG0000020	rna1388	Spar_4.803
OG0000020	rna4449	Spar_13.137
OG0000021	rna2294	Spar_7.398
OG0000021	rna3960	Spar_12.214
OG0000021	rna3874	Spar_12.120
OG0000022	rna1814	Spar_6.18
OG0000022	rna520	Spar_2.472
OG0000022	rna6290	Spar_16.571
OG0000022	rna2510	Spar_7.643
OG0000023	rna2765	Spar_8.277
OG0000023	rna5921	Spar_16.156
OG0000024	rna878	Spar_4.214
OG0000024	rna5150	Spar_14.354
OG0000024	rna4033	Spar_12.283
OG0000025	rna621	Spar_3.121
OG0000025	rna971	Spar_4.322
OG0000025	rna272	Spar_2.202
OG0000026	rna1648	Spar_5.203
OG0000026	rna1643	Spar_5.198
OG0000026	rna1649	Spar_5.205
OG0000027	rna5742	Spar_15.541
OG0000027	rna5568	Spar_15.346
OG0000027	rna1362	Spar_4.760
OG0000028	rna3926	Spar_12.172
OG0000028	rna5749	Spar_15.549
OG0000029	rna2799, rna8, rna95	Spar_8.335
OG0000029	rna3759	Spar_4.442, Spar_12.186
OG0000030	rna5019	Spar_14.204
OG0000030	rna699, rna4320	Spar_12.607, Spar_3.219
OG0000031	rna4794	Spar_13.495
OG0000031	rna360	Spar_2.298
OG0000032	rna3760	Spar_11.398
OG0000032	rna3782	Spar_12.18
OG0000032	rna2529	Spar_8.18
OG0000033	rna225	Spar_14.331
OG0000033	rna225	Spar_2.146
OG0000033	rna5128	Spar_14.331
OG0000033	rna5128	Spar_2.146
OG0000034	rna6090	Spar_16.338
OG0000034	rna599	Spar_3.84
OG0000034	rna5159	Spar_14.363
OG0000035	rna1322	Spar_4.592
OG0000036	rna1458	Spar_4.881
OG0000036	rna572	Spar_3.51
OG0000037	rna4092	Spar_12.347
OG0000037	rna5487	Spar_15.271
OG0000037	rna5608	Spar_15.390
OG0000038	rna5646	Spar_15.437
OG0000038	rna5645	Spar_15.436
OG0000038	rna5954	Spar_16.187
OG0000039	rna6018	Spar_16.256
OG0000039	rna1631	Spar_5.184
OG0000040	rna2057	Spar_7.132
OG0000040	rna5086	Spar_14.273
OG0000041	rna307	Spar_2.241
OG0000041	rna2427	Spar_7.561
OG0000042	rna2293	Spar_7.397
OG0000042	rna6086	Spar_16.334
OG0000043	rna1171	Spar_4.539
OG0000044	rna894	Spar_4.231
OG0000044	rna3083	Spar_10.56
OG0000045	rna5884	Spar_16.115
OG0000045	rna2526	Spar_8.14
OG0000046	rna5705	Spar_15.498
OG0000046	rna2864	Spar_9.47
OG0000047	rna5353	Spar_15.122
OG0000047	rna6209	Spar_16.487
OG0000047	rna5832	Spar_16.53
OG0000048	rna5699	Spar_15.490
OG0000048	rna5700	Spar_15.491
OG0000049	rna2926	Spar_9.116
OG0000049	rna1660	Spar_5.220
OG0000050	rna5414	Spar_15.189
OG0000050	rna1441	Spar_4.860
OG0000051	rna709, rna3425, rna1809, rna4828	Spar_10.444, Spar_14.4, Spar_6.13, Spar_4.21
OG0000052	rna741	Spar_4.55
OG0000053	rna679	Spar_3.185
OG0000053	rna3873	Spar_7.566
OG0000054	rna815	Spar_4.147
OG0000054	rna767	Spar_4.82
OG0000055	rna2871	Spar_9.55, Spar_9.54
OG0000058	rna18	Spar_1.17
OG0000058	rna5777	Spar_15.584
OG0000059	rna3085	Spar_10.58
OG0000060	rna5733	Spar_15.530
OG0000060	rna2985	Spar_9.190
OG0000060	rna4739	Spar_13.436
OG0000061	rna1475	Spar_4.897
OG0000061	rna3105	Spar_10.83
OG0000062	rna4896	Spar_14.79
