Genes	Orthogroup	Clade	Node
rna1	OG0005233	s_cerevisiae	s_cerevisiae
rna6	OG0006318	s_cerevisiae	s_cerevisiae
rna7	OG0006319	s_cerevisiae	s_cerevisiae
rna31	OG0006320	s_cerevisiae	s_cerevisiae
rna83	OG0006321	s_cerevisiae	s_cerevisiae
rna93	OG0006322	s_cerevisiae	s_cerevisiae
rna97	OG0005435	s_cerevisiae	s_cerevisiae
rna99	OG0006323	s_cerevisiae	s_cerevisiae
rna113	OG0006324	s_cerevisiae	s_cerevisiae
rna142	OG0006325	s_cerevisiae	s_cerevisiae
rna166	OG0006326	s_cerevisiae	s_cerevisiae
rna205	OG0006327	s_cerevisiae	s_cerevisiae
rna294	OG0006328	s_cerevisiae	s_cerevisiae
rna315	OG0006329	s_cerevisiae	s_cerevisiae
rna348	OG0006330	s_cerevisiae	s_cerevisiae
rna402	OG0006331	s_cerevisiae	s_cerevisiae
rna416	OG0006332	s_cerevisiae	s_cerevisiae
rna417	OG0006333	s_cerevisiae	s_cerevisiae
rna422	OG0006334	s_cerevisiae	s_cerevisiae
rna424	OG0006335	s_cerevisiae	s_cerevisiae
rna445	OG0006336	s_cerevisiae	s_cerevisiae
rna519	OG0006337	s_cerevisiae	s_cerevisiae
rna522	OG0006338	s_cerevisiae	s_cerevisiae
rna537	OG0006339	s_cerevisiae	s_cerevisiae
rna543	OG0006340	s_cerevisiae	s_cerevisiae
rna624	OG0006341	s_cerevisiae	s_cerevisiae
rna652	OG0006342	s_cerevisiae	s_cerevisiae
rna691	OG0006343	s_cerevisiae	s_cerevisiae
rna704	OG0006344	s_cerevisiae	s_cerevisiae
rna788	OG0006345	s_cerevisiae	s_cerevisiae
rna929	OG0006346	s_cerevisiae	s_cerevisiae
rna932	OG0006347	s_cerevisiae	s_cerevisiae
rna944	OG0006348	s_cerevisiae	s_cerevisiae
rna976	OG0006349	s_cerevisiae	s_cerevisiae
rna1061	OG0006350	s_cerevisiae	s_cerevisiae
rna1112	OG0006351	s_cerevisiae	s_cerevisiae
rna1140	OG0006352	s_cerevisiae	s_cerevisiae
rna1192	OG0006353	s_cerevisiae	s_cerevisiae
rna1453	OG0006354	s_cerevisiae	s_cerevisiae
rna1473	OG0006355	s_cerevisiae	s_cerevisiae
rna1502	OG0006356	s_cerevisiae	s_cerevisiae
rna1537	OG0006357	s_cerevisiae	s_cerevisiae
rna1539	OG0006358	s_cerevisiae	s_cerevisiae
rna1593	OG0006359	s_cerevisiae	s_cerevisiae
rna1620	OG0006360	s_cerevisiae	s_cerevisiae
rna1671	OG0006361	s_cerevisiae	s_cerevisiae
rna1740	OG0005236	s_cerevisiae	s_cerevisiae
rna1782	OG0006362	s_cerevisiae	s_cerevisiae
rna1794	OG0006363	s_cerevisiae	s_cerevisiae
rna1796	OG0005237	s_cerevisiae	s_cerevisiae
rna1799	OG0005441	s_cerevisiae	s_cerevisiae
rna1800	OG0005441	s_cerevisiae	s_cerevisiae
rna1801	OG0006364	s_cerevisiae	s_cerevisiae
rna1824	OG0006365	s_cerevisiae	s_cerevisiae
rna1855	OG0006366	s_cerevisiae	s_cerevisiae
rna1857	OG0006367	s_cerevisiae	s_cerevisiae
rna1918	OG0006368	s_cerevisiae	s_cerevisiae
rna1939	OG0006369	s_cerevisiae	s_cerevisiae
rna1943	OG0005233	s_cerevisiae	s_cerevisiae
rna1969	OG0006370	s_cerevisiae	s_cerevisiae
rna2019	OG0006371	s_cerevisiae	s_cerevisiae
rna2038	OG0006372	s_cerevisiae	s_cerevisiae
rna2162	OG0006373	s_cerevisiae	s_cerevisiae
rna2197	OG0006374	s_cerevisiae	s_cerevisiae
rna2198	OG0006375	s_cerevisiae	s_cerevisiae
rna2221	OG0006376	s_cerevisiae	s_cerevisiae
rna2239	OG0006377	s_cerevisiae	s_cerevisiae
rna2244	OG0006378	s_cerevisiae	s_cerevisiae
rna2260	OG0006379	s_cerevisiae	s_cerevisiae
rna2333	OG0006380	s_cerevisiae	s_cerevisiae
rna2361	OG0006381	s_cerevisiae	s_cerevisiae
rna2376	OG0006382	s_cerevisiae	s_cerevisiae
rna2397	OG0006383	s_cerevisiae	s_cerevisiae
rna2428	OG0006384	s_cerevisiae	s_cerevisiae
rna2465	OG0006385	s_cerevisiae	s_cerevisiae
rna2518	OG0006386	s_cerevisiae	s_cerevisiae
rna2550	OG0006387	s_cerevisiae	s_cerevisiae
rna2578	OG0006388	s_cerevisiae	s_cerevisiae
rna2598	OG0006389	s_cerevisiae	s_cerevisiae
rna2628	OG0006390	s_cerevisiae	s_cerevisiae
rna2632	OG0005445	s_cerevisiae	s_cerevisiae
rna2635	OG0005445	s_cerevisiae	s_cerevisiae
rna2670	OG0006391	s_cerevisiae	s_cerevisiae
rna2758	OG0006392	s_cerevisiae	s_cerevisiae
rna2761	OG0006393	s_cerevisiae	s_cerevisiae
rna2787	OG0006394	s_cerevisiae	s_cerevisiae
rna2802	OG0006395	s_cerevisiae	s_cerevisiae
rna2803	OG0005435	s_cerevisiae	s_cerevisiae
rna2807	OG0006396	s_cerevisiae	s_cerevisiae
rna2808	OG0006397	s_cerevisiae	s_cerevisiae
rna2823	OG0006398	s_cerevisiae	s_cerevisiae
rna2825	OG0006399	s_cerevisiae	s_cerevisiae
rna2854	OG0006400	s_cerevisiae	s_cerevisiae
rna2886	OG0006401	s_cerevisiae	s_cerevisiae
rna2932	OG0005236	s_cerevisiae	s_cerevisiae
rna2937	OG0006402	s_cerevisiae	s_cerevisiae
rna2945	OG0006403	s_cerevisiae	s_cerevisiae
rna3014	OG0006404	s_cerevisiae	s_cerevisiae
rna3020	OG0006405	s_cerevisiae	s_cerevisiae
rna3120	OG0006406	s_cerevisiae	s_cerevisiae
rna3143	OG0006407	s_cerevisiae	s_cerevisiae
rna3151	OG0006408	s_cerevisiae	s_cerevisiae
rna3182	OG0006409	s_cerevisiae	s_cerevisiae
rna3183	OG0006410	s_cerevisiae	s_cerevisiae
rna3184	OG0006411	s_cerevisiae	s_cerevisiae
rna3239	OG0006412	s_cerevisiae	s_cerevisiae
rna3345	OG0006413	s_cerevisiae	s_cerevisiae
rna3387	OG0006414	s_cerevisiae	s_cerevisiae
rna3414	OG0006415	s_cerevisiae	s_cerevisiae
rna3420	OG0006416	s_cerevisiae	s_cerevisiae
rna3471	OG0006417	s_cerevisiae	s_cerevisiae
rna3543	OG0006418	s_cerevisiae	s_cerevisiae
rna3552	OG0006419	s_cerevisiae	s_cerevisiae
rna3587	OG0006420	s_cerevisiae	s_cerevisiae
rna3609	OG0006421	s_cerevisiae	s_cerevisiae
