Orthogroup	s_cerevisiae_proteins	s_kudriavzevii_proteins
OG0000000	rna708, rna3426, rna1500, rna5234	Skud_14.406, Skud_4.5
OG0000000	rna1856	Skud_6.61
OG0000000	rna4477	Skud_13.163
OG0000000	rna2676	Skud_8.153
OG0000000	rna2678	Skud_8.157
OG0000001	rna1504	Skud_5.24
OG0000001	rna528, rna3763	Skud_18.6
OG0000001	rna2525	Skud_8.3
OG0000002	rna1489	Skud_5.12
OG0000002	rna5257	Skud_15.4
OG0000002	rna2166	Skud_7.245
OG0000002	rna2049	Skud_7.115
OG0000003	rna5796	Skud_15.551
OG0000003	rna5792	Skud_15.547
OG0000003	rna5222	Skud_14.396
OG0000003	rna3779	Skud_12.19
OG0000004	rna2975	Skud_9.154
OG0000004	rna1089	Skud_4.403
OG0000004	rna3949	Skud_12.192
OG0000004	rna3950	Skud_12.193
OG0000005	rna90, rna2151	Skud_1.87, Skud_1.88
OG0000005	rna601	Skud_3.71, Skud_3.88
OG0000005	rna88	Skud_1.82, Skud_1.79, Skud_1.86, Skud_1.78
OG0000006	rna3233	Skud_10.188
OG0000006	rna3803	Skud_12.44
OG0000006	rna66	Skud_1.58
OG0000006	rna1699	Skud_5.228
OG0000006	rna138	Skud_2.32
OG0000007	rna4562	Skud_13.240
OG0000007	rna5324	Skud_15.68
OG0000007	rna4800	Skud_13.477
OG0000007	rna365	Skud_2.272
OG0000008	rna523, rna2512	Skud_20.5, Skud_7.643
OG0000008	rna2509, rna2818, rna3044, rna5251	Skud_7.636
OG0000008	rna3048	Skud_7.622
OG0000009	rna5578	Skud_15.326
OG0000009	rna5586	Skud_15.334
OG0000009	rna4124	Skud_12.346
OG0000009	rna3431	Skud_16.500
OG0000010	rna1940	Skud_8.1
OG0000010	rna5237, rna3434, rna705, rna3429, rna525, rna4327, rna1805, rna4824, rna2514, rna2519	Skud_12.1
OG0000011	rna317	Skud_2.220
OG0000011	rna100, rna2809, rna318	Skud_2.221
OG0000012	rna6105	Skud_16.298
OG0000012	rna6106	Skud_16.300
OG0000013	rna226	Skud_2.123
OG0000013	rna226	Skud_38.2
OG0000013	rna5127	Skud_2.123
OG0000013	rna5127	Skud_38.2
OG0000013	rna3604	Skud_11.180
OG0000014	rna3140	Skud_10.98
OG0000014	rna3698	Skud_11.279
OG0000014	rna5087	Skud_14.266
OG0000014	rna2867	Skud_9.45
OG0000015	rna4803	Skud_13.480
OG0000015	rna2240	Skud_7.327
OG0000015	rna4199	Skud_12.427
OG0000016	rna3208	Skud_10.147
OG0000016	rna3274	Skud_10.232
OG0000017	rna5405	Skud_15.150
OG0000017	rna4473	Skud_13.159
OG0000017	rna4474	Skud_13.160
OG0000018	rna6291	Skud_16.503
OG0000018	rna529, rna3762	Skud_18.3
OG0000018	rna2450	Skud_7.560
OG0000019	rna2511	Skud_7.628
OG0000019	rna706, rna3428	Skud_4.1
OG0000019	rna521	Skud_7.639, Skud_20.4
OG0000020	rna5912	Skud_16.99
OG0000020	rna1388	Skud_4.709
OG0000020	rna4449	Skud_13.135
OG0000021	rna3960	Skud_12.203
OG0000021	rna3874	Skud_12.110
OG0000022	rna1814	Skud_6.7
OG0000022	rna520	Skud_2.427
OG0000022	rna6290	Skud_20.3
OG0000023	rna2765	Skud_8.243
OG0000024	rna878	Skud_4.189
OG0000024	rna5150	Skud_14.318
OG0000024	rna4033	Skud_12.239
OG0000025	rna621	Skud_3.94
OG0000025	rna971	Skud_4.286
OG0000025	rna272	Skud_2.169
OG0000026	rna1648	Skud_5.174
OG0000026	rna1643	Skud_5.169
OG0000026	rna1649	Skud_5.175
OG0000027	rna5742	Skud_15.495
OG0000027	rna5568	Skud_15.317
OG0000027	rna1362	Skud_4.680
OG0000028	rna3926	Skud_12.166
OG0000028	rna5749	Skud_15.502
OG0000029	rna2799, rna8, rna95	Skud_6.18
OG0000030	rna5019	Skud_14.197
OG0000031	rna4794	Skud_13.471
OG0000031	rna360	Skud_2.267
