Orthogroup	s_cerevisiae_proteins	s_mikatae_proteins
OG0000000	rna3909	Smik_12.140
OG0000000	rna3049	Smik_6.20, Smik_10.8
OG0000000	rna708, rna3426, rna1500, rna5234	Smik_14.401, Smik_5.19
OG0000000	rna4477	Smik_13.171
OG0000000	rna1856	Smik_6.68
OG0000001	rna3767, rna5239, rna4321, rna0, rna1490, rna2521, rna1942, rna2814, rna3042, rna1524, rna104, rna1847, rna524, rna2513	Smik_1.80, Smik_16.9, Smik_3.7
OG0000001	rna5247	Smik_5.44
OG0000001	rna700, rna3039, rna3430, rna4822, rna5805, rna5809, rna3868, rna3802	Smik_12.39
OG0000001	rna3418	Smik_10.445
OG0000002	rna3233	Smik_10.238
OG0000002	rna3803	Smik_12.40
OG0000003	rna4070	Smik_12.272
OG0000003	rna5792	Smik_5.8
OG0000003	rna3433	Smik_15.562
OG0000003	rna5222	Smik_14.394
OG0000003	rna3779	Smik_12.8
OG0000004	rna5237, rna3434, rna525, rna4327, rna1805, rna4824, rna705, rna3429, rna2514, rna2519	Smik_16.462, Smik_9.252, Smik_18.5
OG0000004	rna2523, rna2524	Smik_9.247
OG0000004	rna1940	Smik_16.6, Smik_16.8, Smik_3.4
OG0000005	rna1504	Smik_5.22
OG0000005	rna2525	Smik_8.1
OG0000006	rna1944, rna3038, rna1945	Smik_5.7
OG0000006	rna3950	Smik_12.187
OG0000006	rna3949	Smik_12.186
OG0000006	rna2975	Smik_9.175
OG0000007	rna5257	Smik_15.4
OG0000007	rna2166	Smik_7.247
OG0000007	rna2049	Smik_7.116
OG0000007	rna1489	Smik_4.822
OG0000009	rna601	Smik_3.91
OG0000009	rna87	Smik_1.89
OG0000009	rna89	Smik_1.105
OG0000009	rna91, rna2152	Smik_1.90, Smik_1.102
OG0000009	rna88	Smik_1.91
OG0000010	rna3048	Smik_10.7, Smik_25.3, Smik_6.17
OG0000010	rna2818, rna3044, rna5251	Smik_18.19
OG0000010	rna523, rna2512	Smik_16.11, Smik_5.12, Smik_16.13
OG0000011	rna290	Smik_2.202
OG0000012	rna4562	Smik_13.266
OG0000012	rna4800	Smik_2.284, Smik_15.71, Smik_13.520
OG0000013	rna6105	Smik_16.253
OG0000013	rna6106	Smik_16.255
OG0000015	rna1815	Smik_5.362, Smik_6.25
OG0000016	rna5912	Smik_6.384
OG0000016	rna1388	Smik_4.708
OG0000016	rna4449	Smik_13.135
OG0000017	rna5586	Smik_15.350
OG0000017	rna3431	Smik_18.3
OG0000018	rna317	Smik_2.233
OG0000018	rna100, rna2809, rna318	Smik_2.234, Smik_2.235
OG0000019	rna5232	Smik_14.399
OG0000019	rna950	Smik_4.244
OG0000019	rna6034	Smik_16.179
OG0000021	rna824	Smik_4.114
OG0000021	rna3105	Smik_10.83
OG0000022	rna698, rna697	Smik_18.15
OG0000024	rna520	Smik_2.438
OG0000024	rna1814	Smik_6.15
