Orthogroup	s_cerevisiae_proteins	k_lactis_proteins
OG0000000	rna2677, rna1296, rna2678	rna2641
OG0000001	rna528, rna3763	rna2928
OG0000001	rna2520	rna3584, rna1193, TCONS_novel_00000655_1-frame_3
OG0000001	rna2525	rna457, rna2043
OG0000003	rna5796	rna1400
OG0000003	rna3779	rna4073, rna3580, rna3195
OG0000004	rna2975	rna2754
OG0000004	rna1089, rna3949, rna3950	rna3111
OG0000006	rna3233	rna2464
OG0000006	rna3803, rna66	rna2233
OG0000006	rna1699, rna138	rna3849
OG0000007	rna4562	rna4863, rna4990, rna922, rna4653
OG0000008	rna523, rna2512, rna2509, rna2818, rna3044, rna5251, rna3048	rna534, rna2055
OG0000009	rna5578, rna5586, rna4124	rna4473
OG0000009	rna3431	rna2490
OG0000011	rna915, rna317, rna100, rna2809, rna318	rna2046
OG0000012	rna6105, rna6106	rna4973
OG0000013	rna226	rna3719
OG0000013	rna5127	rna3719
OG0000013	rna3604	rna1740
OG0000014	rna3698	rna3599
OG0000014	rna5087, rna2867	rna4247
OG0000015	rna4803	rna1806
OG0000015	rna2240, rna4199	rna776
OG0000016	rna3208, rna2415, rna3274	rna521
OG0000017	rna5405, rna4473, rna4474	rna1444
OG0000018	rna529, rna3762	rna2927, rna3376
OG0000019	rna2511	rna535, rna2056, rna2930
OG0000020	rna1388, rna4449	rna571
OG0000021	rna2294, rna3960, rna3874	rna3660
OG0000022	rna1814, rna520, rna6290, rna2510	rna112
OG0000023	rna2765, rna5921	rna396
OG0000024	rna878	rna669
OG0000024	rna5150, rna4033	rna4598
OG0000026	rna1648, rna1643, rna1649	rna1549
OG0000027	rna5742, rna5568, rna1362	rna2201, rna5018
OG0000028	rna3926	rna4924
OG0000028	rna5749	rna4156
OG0000029	rna3759	rna4945
OG0000030	rna5019, rna699, rna4320	rna5135
OG0000031	rna4794	rna436
OG0000031	rna360	rna3728, rna1962
OG0000032	rna3782	rna2951
OG0000033	rna225, rna5128	rna3320, rna3718
OG0000034	rna6090	rna3571
OG0000034	rna599, rna5159	rna4619
OG0000035	rna1322, rna5535	rna1175, rna2488
OG0000036	rna1458, rna572	rna4092, rna1253
OG0000037	rna4092, rna5487, rna5608	rna2071
OG0000038	rna5954	rna2361
OG0000039	rna6018	rna3978
OG0000039	rna1631	rna3126
