Orthogroup	s_cerevisiae_proteins	k_lactis_proteins
OG0000002	rna3233	rna2464
OG0000002	rna3803, rna66	rna2233
OG0000003	rna4070	rna4270
OG0000003	rna5796	rna1400
OG0000004	rna5237, rna3434, rna525, rna4327, rna1805, rna4824, rna705, rna3429, rna2514, rna2519, rna2523, rna2524, rna1940	rna524, rna2035
OG0000005	rna528, rna3763	rna2928
OG0000005	rna2520	rna457, rna2043, rna1193
OG0000006	rna3950, rna3949	rna3111
OG0000006	rna2975	rna2754
OG0000010	rna3048, rna2509, rna2818, rna3044, rna5251, rna523, rna2512	rna2931, rna534, rna2055
OG0000011	rna290	rna4092
OG0000012	rna4562	rna4653
OG0000012	rna4800	rna4863, rna4990
OG0000013	rna6105, rna6106	rna196, rna5042
OG0000015	rna3, rna8, rna95, rna2799, rna2801, rna5, rna1815, rna2800, rna3759	rna523, rna537, rna3582, rna2044, rna2058, rna1184
OG0000016	rna1729	rna4606
OG0000016	rna1388, rna4449	rna571
OG0000017	rna5586	rna4473
OG0000017	rna3431	rna756, rna2490
OG0000018	rna915, rna317, rna100, rna2809, rna318	rna2046
OG0000019	rna5232, rna950	rna2199
OG0000019	rna6034	rna949
OG0000021	rna824	rna4308
OG0000021	rna1475	rna1222
OG0000022	rna195, rna696, rna5228, rna698, rna697, rna2817, rna3043, rna5227	rna3405
OG0000024	rna520, rna1814, rna2510, rna6290	rna112
OG0000025	rna3208, rna2415	rna4989, rna521
OG0000026	rna4803	rna1806
OG0000027	rna3099	rna847
OG0000028	rna529, rna3762	rna2927, rna3376
OG0000029	rna2511	rna2930, rna535, rna2056
OG0000030	rna4473	rna1444
OG0000031	rna1717	rna3539
OG0000032	rna3874, rna3960, rna2294	rna3660
OG0000034	rna960	rna467
OG0000035	rna2765, rna5921	rna396
OG0000036	rna5888	rna2186
OG0000037	rna4893	rna1287
OG0000038	rna1648, rna1649, rna1643	rna1549
OG0000039	rna878	rna669
OG0000040	rna3926	rna4924
OG0000040	rna5749	rna4156
OG0000041	rna5019, rna699, rna4320	rna5135
OG0000043	rna226	rna3319
OG0000044	rna5742	rna5018
OG0000046	rna4092, rna5487, rna5608	rna2071
OG0000048	rna6018	rna3978
OG0000048	rna1631	rna3126
OG0000049	rna225, rna5128	rna3320, rna3718
OG0000050	rna5086, rna2057	rna3341, rna4250
OG0000051	rna307	rna3491
OG0000051	rna2427	rna3670
OG0000052	rna2293	rna4413
OG0000052	rna6086	rna3578
OG0000054	rna3888	rna4448
OG0000054	rna488	rna4101
OG0000055	rna196	rna3406
OG0000055	rna2251	rna108
OG0000057	rna894, rna3083	rna2986, rna282
OG0000058	rna3695	rna301, rna303
OG0000059	rna2526	rna2947
OG0000059	rna5884	rna626
OG0000060	rna2864	rna4251
OG0000060	rna5705	rna889
OG0000061	rna5515	rna1781
OG0000062	rna6209, rna5832, rna5353	rna1141
OG0000063	rna5699	rna1485
OG0000063	rna5700	rna1484
OG0000064	rna709, rna3425, rna1809, rna4828	rna2036
OG0000065	rna741	rna3513, rna3587, rna4048
OG0000066	rna6090	rna3571
OG0000067	rna3085	rna284
OG0000069	rna5733, rna2985, rna4739	rna1096
OG0000071	rna4896	rna1294
OG0000072	rna5414	rna2103
OG0000073	rna3181	rna2152
OG0000074	rna4537	rna5224
OG0000074	rna1825	rna2286
OG0000076	rna4536	rna3486
OG0000077	rna1170	rna4643, rna3706
OG0000078	rna598	rna4620
OG0000079	rna6005	rna4912
OG0000081	rna2484	rna412
OG0000082	rna6060	rna2580
OG0000082	rna380	rna953
OG0000084	rna1781, rna2797	rna1979
OG0000085	rna4654, rna4653	rna2485, rna2484
OG0000086	rna1816, rna5276	rna3257
OG0000087	rna701	rna3820
OG0000089	rna3841, rna3008	rna4482
OG0000090	rna4568	rna4661
OG0000093	rna3432	rna2489, rna1955, rna1476, rna1, rna530, rna2051, rna2937, rna2934, rna4054, rna1188
OG0000094	rna1808, rna4827	rna12
OG0000095	rna1365	rna94
OG0000096	rna6056, rna2196	rna395
OG0000097	rna4821, rna5804, rna5810	rna400
OG0000098	rna2860	rna4255
OG0000098	rna3056	rna1326
OG0000099	rna4712	rna1490
OG0000099	rna5695	rna1491
OG0000100	rna4820, rna5811, rna5803, rna1483	rna2077, rna2078
OG0000101	rna239, rna3027	rna2200
OG0000102	rna2711	rna3956
OG0000102	rna1827	rna2280
OG0000103	rna4004, rna4019, rna4015, rna4008, rna1273	rna2625
OG0000105	rna1047, rna1784	rna4589
OG0000110	rna1807, rna4826, rna4574	rna11
OG0000111	rna2003	rna4494
OG0000112	rna4858, rna5290	rna323
OG0000113	rna4309	rna728
OG0000115	rna3526, rna4583	rna1086
OG0000117	rna4408	rna2161
OG0000118	rna918	rna1359
OG0000120	rna4167	rna2453
OG0000121	rna1569, rna2763	rna2676
OG0000122	rna850	rna2988
OG0000124	rna1279, rna2663	rna3687
OG0000125	rna1793	rna4058
OG0000126	rna5084, rna2859	rna4256
OG0000127	rna4745, rna3732	rna4587
OG0000128	rna2399	rna4727
OG0000129	rna516, rna3920	rna4911
OG0000130	rna4958	rna4982
OG0000131	rna4520	rna5240
OG0000136	rna2467, rna2747	rna237
OG0000137	rna209	rna398
OG0000138	rna1608	rna548
OG0000139	rna2786, rna2785	rna695
OG0000141	rna2810	rna761
OG0000143	rna328	rna944
OG0000144	rna6260	rna991
OG0000147	rna1451	rna1261
OG0000148	rna4042	rna1264
OG0000149	rna2739, rna4903	rna1304
OG0000152	rna4633	rna1663
OG0000153	rna3776, rna702	rna1812
OG0000154	rna5431, rna1349	rna1919
OG0000158	rna905, rna3015	rna2049, rna2974
OG0000160	rna5818, rna3769	rna2112
OG0000161	rna5231	rna2122
OG0000163	rna3421	rna2176
OG0000165	rna1823, rna3901	rna2289
OG0000166	rna5963	rna2342
OG0000166	rna5630	rna2341
OG0000168	rna1656, rna1859	rna2374
OG0000169	rna5145	rna3330
OG0000169	rna2720	rna2535
OG0000172	rna4025, rna1123	rna2845
OG0000173	rna1341	rna3060, rna3059
OG0000177	rna801	rna3561, rna4269
OG0000178	rna2060	rna3594
OG0000180	rna2743, rna2462	rna3625
OG0000182	rna2115, rna5905	rna3783
OG0000183	rna1683, rna158	rna3822
OG0000186	rna6001	rna4009
OG0000191	rna5151, rna4602	rna4839
OG0000192	rna3030, rna5037	rna5112
OG0000202	rna1622	rna57
OG0000206	rna1293	rna308
OG0000207	rna5287	rna318
OG0000216	rna3393	rna2784, rna722
OG0000219	rna3554	rna799
OG0000224	rna6213	rna947
OG0000227	rna4596	rna1073
OG0000230	rna692, rna642, rna531	rna1199
OG0000231	rna533	rna1201
OG0000250	rna4804	rna1807
OG0000255	rna3775	rna4059, rna2016
OG0000261	rna1951	rna2552
OG0000273	rna3035	rna3294
OG0000288	rna468	rna4349
OG0000296	rna902	rna4704
OG0000303	rna981	rna4868
OG0000312	rna3568, rna6044	rna5210
OG0000322	rna594	rna380
OG0000331	rna378	rna956
OG0000334	rna6151	rna1033
OG0000335	rna2606	rna1050
OG0000338	rna5255	rna1195, rna2924
OG0000345	rna5861	rna1895
